"","series","timestamp","value","label"
"1","Rise_true","2016-07-01T00:00:00.000Z",175,""
"2","Rise_false","2016-07-01T00:00:00.000Z",1190,""
"3","Rise_true","2016-07-02T00:00:00.000Z",185,""
"4","Rise_false","2016-07-02T00:00:00.000Z",1205,""
"5","Rise_true","2016-07-03T00:00:00.000Z",180,""
"6","Rise_false","2016-07-03T00:00:00.000Z",1190,""
"7","Rise_true","2016-07-04T00:00:00.000Z",180,""
"8","Rise_false","2016-07-04T00:00:00.000Z",1175,"label_1"
"9","Rise_true","2016-07-05T00:00:00.000Z",180,""
"10","Rise_false","2016-07-05T00:00:00.000Z",1185,""
"11","Rise_true","2016-07-06T00:00:00.000Z",185,""
"12","Rise_false","2016-07-06T00:00:00.000Z",1190,""
"13","Rise_true","2016-07-07T00:00:00.000Z",195,""
"14","Rise_false","2016-07-07T00:00:00.000Z",1190,""
"15","Rise_true","2016-07-08T00:00:00.000Z",200,""
"16","Rise_false","2016-07-08T00:00:00.000Z",1195,""
"17","Rise_true","2016-07-09T00:00:00.000Z",190,""
"18","Rise_false","2016-07-09T00:00:00.000Z",1190,""
"19","Rise_true","2016-07-10T00:00:00.000Z",190,""
"20","Rise_false","2016-07-10T00:00:00.000Z",1185,""
"21","Rise_true","2016-07-11T00:00:00.000Z",195,""
"22","Rise_false","2016-07-11T00:00:00.000Z",1180,""
"23","Rise_true","2016-07-12T00:00:00.000Z",205,""
"24","Rise_false","2016-07-12T00:00:00.000Z",1170,"label_1"
"25","Rise_true","2016-07-13T00:00:00.000Z",205,""
"26","Rise_false","2016-07-13T00:00:00.000Z",1185,""
"27","Rise_true","2016-07-14T00:00:00.000Z",195,""
"28","Rise_false","2016-07-14T00:00:00.000Z",1170,""
"29","Rise_true","2016-07-15T00:00:00.000Z",210,""
"30","Rise_false","2016-07-15T00:00:00.000Z",1175,""
"31","Rise_true","2016-07-16T00:00:00.000Z",210,""
"32","Rise_false","2016-07-16T00:00:00.000Z",1180,""
"33","Rise_true","2016-07-17T00:00:00.000Z",210,""
"34","Rise_false","2016-07-17T00:00:00.000Z",1180,""
"35","Rise_true","2016-07-18T00:00:00.000Z",200,""
"36","Rise_false","2016-07-18T00:00:00.000Z",1175,""
"37","Rise_true","2016-07-19T00:00:00.000Z",200,""
"38","Rise_false","2016-07-19T00:00:00.000Z",1190,""
"39","Rise_true","2016-07-20T00:00:00.000Z",200,""
"40","Rise_false","2016-07-20T00:00:00.000Z",1175,""
"41","Rise_true","2016-07-21T00:00:00.000Z",225,"label_1"
"42","Rise_false","2016-07-21T00:00:00.000Z",1175,""
"43","Rise_true","2016-07-22T00:00:00.000Z",205,""
"44","Rise_false","2016-07-22T00:00:00.000Z",1170,""
"45","Rise_true","2016-07-23T00:00:00.000Z",210,""
