"","series","timestamp","value","label"
"1","Rise_true","2016-07-01T00:00:00.000Z",195,""
"2","Rise_false","2016-07-01T00:00:00.000Z",1175,""
"3","Rise_true","2016-07-02T00:00:00.000Z",205,""
"4","Rise_false","2016-07-02T00:00:00.000Z",1180,""
"5","Rise_true","2016-07-03T00:00:00.000Z",200,""
"6","Rise_false","2016-07-03T00:00:00.000Z",1180,""
"7","Rise_true","2016-07-04T00:00:00.000Z",200,""
"8","Rise_false","2016-07-04T00:00:00.000Z",1170,""
"9","Rise_true","2016-07-05T00:00:00.000Z",195,""
"10","Rise_false","2016-07-05T00:00:00.000Z",1175,""
"11","Rise_true","2016-07-06T00:00:00.000Z",200,""
"12","Rise_false","2016-07-06T00:00:00.000Z",1180,""
"13","Rise_true","2016-07-07T00:00:00.000Z",200,""
"14","Rise_false","2016-07-07T00:00:00.000Z",1180,""
"15","Rise_true","2016-07-08T00:00:00.000Z",210,""
"16","Rise_false","2016-07-08T00:00:00.000Z",1190,""
"17","Rise_true","2016-07-09T00:00:00.000Z",195,""
"18","Rise_false","2016-07-09T00:00:00.000Z",1180,""
"19","Rise_true","2016-07-10T00:00:00.000Z",190,""
"20","Rise_false","2016-07-10T00:00:00.000Z",1180,""
"21","Rise_true","2016-07-11T00:00:00.000Z",200,""
"22","Rise_false","2016-07-11T00:00:00.000Z",1175,""
"23","Rise_true","2016-07-12T00:00:00.000Z",210,""
"24","Rise_false","2016-07-12T00:00:00.000Z",1165,""
"25","Rise_true","2016-07-13T00:00:00.000Z",205,""
"26","Rise_false","2016-07-13T00:00:00.000Z",1170,""
"27","Rise_true","2016-07-14T00:00:00.000Z",220,"label_1"
"28","Rise_false","2016-07-14T00:00:00.000Z",1165,""
"29","Rise_true","2016-07-15T00:00:00.000Z",205,""
"30","Rise_false","2016-07-15T00:00:00.000Z",1160,""
"31","Rise_true","2016-07-16T00:00:00.000Z",205,""
"32","Rise_false","2016-07-16T00:00:00.000Z",1180,""
"33","Rise_true","2016-07-17T00:00:00.000Z",195,""
"34","Rise_false","2016-07-17T00:00:00.000Z",1180,""
"35","Rise_true","2016-07-18T00:00:00.000Z",195,""
"36","Rise_false","2016-07-18T00:00:00.000Z",1175,""
"37","Rise_true","2016-07-19T00:00:00.000Z",200,""
"38","Rise_false","2016-07-19T00:00:00.000Z",1180,""
"39","Rise_true","2016-07-20T00:00:00.000Z",195,""
"40","Rise_false","2016-07-20T00:00:00.000Z",1175,""
"41","Rise_true","2016-07-21T00:00:00.000Z",220,"label_1"
"42","Rise_false","2016-07-21T00:00:00.000Z",1175,""
"43","Rise_true","2016-07-22T00:00:00.000Z",210,""
"44","Rise_false","2016-07-22T00:00:00.000Z",1165,""
"45","Rise_true","2016-07-23T00:00:00.000Z",225,"label_1"
"46","Rise_false","2016-07-23T00:00:00.000Z",1165,""
"47","Rise_true","2016-07-24T00:00:00.000Z",210,""
"48","Rise_false","2016-07-24T00:00:00.000Z",1175,""
"49","Rise_true","2016-07-25T00:00:00.000Z",210,""
"50","Rise_false","2016-07-25T00:00:00.000Z",1165,""
"51","Rise_true","2016-07-26T00:00:00.000Z",205,""
"52","Rise_false","2016-07-26T00:00:00.000Z",1165,""
"53","Rise_true","2016-07-27T00:00:00.000Z",210,""
"54","Rise_false","2016-07-27T00:00:00.000Z",1165,""
"55","Rise_true","2016-07-28T00:00:00.000Z",215,""
"56","Rise_false","2016-07-28T00:00:00.000Z",1170,""
"57","Rise_true","2016-07-29T00:00:00.000Z",210,""
"58","Rise_false","2016-07-29T00:00:00.000Z",1170,""
"59","Rise_true","2016-07-30T00:00:00.000Z",205,""
"60","Rise_false","2016-07-30T00:00:00.000Z",1165,""
"61","Rise_true","2016-07-31T00:00:00.000Z",230,"label_1"
"62","Rise_false","2016-07-31T00:00:00.000Z",1165,""
"63","Rise_true","2016-08-01T00:00:00.000Z",215,""
"64","Rise_false","2016-08-01T00:00:00.000Z",1160,""
"65","Rise_true","2016-08-02T00:00:00.000Z",230,"label_1"
"66","Rise_false","2016-08-02T00:00:00.000Z",1150,""
"67","Rise_true","2016-08-03T00:00:00.000Z",220,""
"68","Rise_false","2016-08-03T00:00:00.000Z",1150,""
"69","Rise_true","2016-08-04T00:00:00.000Z",220,""
"70","Rise_false","2016-08-04T00:00:00.000Z",1145,""
"71","Rise_true","2016-08-05T00:00:00.000Z",240,"label_1"
"72","Rise_false","2016-08-05T00:00:00.000Z",1150,""
"73","Rise_true","2016-08-06T00:00:00.000Z",240,"label_1"
"74","Rise_false","2016-08-06T00:00:00.000Z",1150,""
"75","Rise_true","2016-08-07T00:00:00.000Z",230,""
"76","Rise_false","2016-08-07T00:00:00.000Z",1150,""
"77","Rise_true","2016-08-08T00:00:00.000Z",230,""
"78","Rise_false","2016-08-08T00:00:00.000Z",1135,""
"79","Rise_true","2016-08-09T00:00:00.000Z",235,""
"80","Rise_false","2016-08-09T00:00:00.000Z",1140,""
"81","Rise_true","2016-08-10T00:00:00.000Z",235,""
"82","Rise_false","2016-08-10T00:00:00.000Z",1140,""
"83","Rise_true","2016-08-11T00:00:00.000Z",230,""
"84","Rise_false","2016-08-11T00:00:00.000Z",1140,""
"85","Rise_true","2016-08-12T00:00:00.000Z",245,""
"86","Rise_false","2016-08-12T00:00:00.000Z",1145,""
"87","Rise_true","2016-08-13T00:00:00.000Z",235,""
"88","Rise_false","2016-08-13T00:00:00.000Z",1140,""
"89","Rise_true","2016-08-14T00:00:00.000Z",240,""
"90","Rise_false","2016-08-14T00:00:00.000Z",1125,""
"91","Rise_true","2016-08-15T00:00:00.000Z",250,""
"92","Rise_false","2016-08-15T00:00:00.000Z",1120,""
"93","Rise_true","2016-08-16T00:00:00.000Z",240,""
"94","Rise_false","2016-08-16T00:00:00.000Z",1130,""
"95","Rise_true","2016-08-17T00:00:00.000Z",245,""
"96","Rise_false","2016-08-17T00:00:00.000Z",1125,""
"97","Rise_true","2016-08-18T00:00:00.000Z",250,""
"98","Rise_false","2016-08-18T00:00:00.000Z",1120,""
"99","Rise_true","2016-08-19T00:00:00.000Z",255,""
"100","Rise_false","2016-08-19T00:00:00.000Z",1115,""
"101","Rise_true","2016-08-20T00:00:00.000Z",255,""
"102","Rise_false","2016-08-20T00:00:00.000Z",1110,""
"103","Rise_true","2016-08-21T00:00:00.000Z",250,""
"104","Rise_false","2016-08-21T00:00:00.000Z",1120,""
"105","Rise_true","2016-08-22T00:00:00.000Z",250,""
"106","Rise_false","2016-08-22T00:00:00.000Z",1120,""
"107","Rise_true","2016-08-23T00:00:00.000Z",245,""
"108","Rise_false","2016-08-23T00:00:00.000Z",1115,""
"109","Rise_true","2016-08-24T00:00:00.000Z",255,""
"110","Rise_false","2016-08-24T00:00:00.000Z",1115,""
"111","Rise_true","2016-08-25T00:00:00.000Z",265,""
"112","Rise_false","2016-08-25T00:00:00.000Z",1115,""
