series,timestamp,value,label
Rise_true,2018-08-01T00:00:00.000Z,215,
Rise_false,2018-08-01T00:00:00.000Z,1155,
Rise_true,2018-08-02T00:00:00.000Z,215,
Rise_false,2018-08-02T00:00:00.000Z,1160,
Rise_true,2018-08-03T00:00:00.000Z,215,
Rise_false,2018-08-03T00:00:00.000Z,1160,
Rise_true,2018-08-04T00:00:00.000Z,220,
Rise_false,2018-08-04T00:00:00.000Z,1160,
Rise_true,2018-08-05T00:00:00.000Z,220,
Rise_false,2018-08-05T00:00:00.000Z,1145,
Rise_true,2018-08-06T00:00:00.000Z,220,
Rise_false,2018-08-06T00:00:00.000Z,1125,
Rise_true,2018-08-07T00:00:00.000Z,235,
Rise_false,2018-08-07T00:00:00.000Z,1145,
Rise_true,2018-08-08T00:00:00.000Z,235,
Rise_false,2018-08-08T00:00:00.000Z,1140,
Rise_true,2018-08-09T00:00:00.000Z,250,label_1
Rise_false,2018-08-09T00:00:00.000Z,1145,
Rise_true,2018-08-10T00:00:00.000Z,235,
Rise_false,2018-08-10T00:00:00.000Z,1140,
Rise_true,2018-08-11T00:00:00.000Z,235,
Rise_false,2018-08-11T00:00:00.000Z,1145,
Rise_true,2018-08-12T00:00:00.000Z,250,
Rise_false,2018-08-12T00:00:00.000Z,1140,
Rise_true,2018-08-13T00:00:00.000Z,245,
Rise_false,2018-08-13T00:00:00.000Z,1140,
Rise_true,2018-08-14T00:00:00.000Z,240,
Rise_false,2018-08-14T00:00:00.000Z,1130,
Rise_true,2018-08-15T00:00:00.000Z,240,
Rise_false,2018-08-15T00:00:00.000Z,1140,
Rise_true,2018-08-16T00:00:00.000Z,240,
Rise_false,2018-08-16T00:00:00.000Z,1135,
Rise_true,2018-08-17T00:00:00.000Z,240,
Rise_false,2018-08-17T00:00:00.000Z,1130,
Rise_true,2018-08-18T00:00:00.000Z,245,
Rise_false,2018-08-18T00:00:00.000Z,1120,
Rise_true,2018-08-19T00:00:00.000Z,250,
Rise_false,2018-08-19T00:00:00.000Z,1125,
