"","series","timestamp","value","label"
"1","Rise_true","2019-07-20T00:00:00.000Z",215,""
"2","Rise_false","2019-07-20T00:00:00.000Z",1190,""
"3","Rise_true","2019-07-21T00:00:00.000Z",210,""
"4","Rise_false","2019-07-21T00:00:00.000Z",1180,""
"5","Rise_true","2019-07-22T00:00:00.000Z",215,""
"6","Rise_false","2019-07-22T00:00:00.000Z",1180,""
"7","Rise_true","2019-07-23T00:00:00.000Z",210,""
"8","Rise_false","2019-07-23T00:00:00.000Z",1170,""
"9","Rise_true","2019-07-24T00:00:00.000Z",220,""
"10","Rise_false","2019-07-24T00:00:00.000Z",1170,""
"11","Rise_true","2019-07-25T00:00:00.000Z",225,""
"12","Rise_false","2019-07-25T00:00:00.000Z",1170,""
"13","Rise_true","2019-07-26T00:00:00.000Z",225,""
"14","Rise_false","2019-07-26T00:00:00.000Z",1175,""
"15","Rise_true","2019-07-27T00:00:00.000Z",220,""
"16","Rise_false","2019-07-27T00:00:00.000Z",1160,"label_1"
"17","Rise_true","2019-07-28T00:00:00.000Z",230,""
"18","Rise_false","2019-07-28T00:00:00.000Z",1175,""
"19","Rise_true","2019-07-29T00:00:00.000Z",230,""
"20","Rise_false","2019-07-29T00:00:00.000Z",1175,""
"21","Rise_true","2019-07-30T00:00:00.000Z",225,""
"22","Rise_false","2019-07-30T00:00:00.000Z",1170,""
"23","Rise_true","2019-07-31T00:00:00.000Z",230,""
"24","Rise_false","2019-07-31T00:00:00.000Z",1175,""
"25","Rise_true","2019-08-01T00:00:00.000Z",225,""
"26","Rise_false","2019-08-01T00:00:00.000Z",1170,""
"27","Rise_true","2019-08-02T00:00:00.000Z",230,""
"28","Rise_false","2019-08-02T00:00:00.000Z",1170,""
"29","Rise_true","2019-08-03T00:00:00.000Z",225,""
"30","Rise_false","2019-08-03T00:00:00.000Z",1170,""
"31","Rise_true","2019-08-04T00:00:00.000Z",235,""
"32","Rise_false","2019-08-04T00:00:00.000Z",1165,""
"33","Rise_true","2019-08-05T00:00:00.000Z",230,""
"34","Rise_false","2019-08-05T00:00:00.000Z",1165,""
"35","Rise_true","2019-08-06T00:00:00.000Z",235,""
"36","Rise_false","2019-08-06T00:00:00.000Z",1160,""
"37","Rise_true","2019-08-07T00:00:00.000Z",235,""
"38","Rise_false","2019-08-07T00:00:00.000Z",1155,""
"39","Rise_true","2019-08-08T00:00:00.000Z",230,""
"40","Rise_false","2019-08-08T00:00:00.000Z",1160,""
"41","Rise_true","2019-08-09T00:00:00.000Z",235,""
"42","Rise_false","2019-08-09T00:00:00.000Z",1160,""
"43","Rise_true","2019-08-10T00:00:00.000Z",240,""
"44","Rise_false","2019-08-10T00:00:00.000Z",1160,""
"45","Rise_true","2019-08-11T00:00:00.000Z",240,""
"46","Rise_false","2019-08-11T00:00:00.000Z",1155,""
"47","Rise_true","2019-08-12T00:00:00.000Z",240,""
"48","Rise_false","2019-08-12T00:00:00.000Z",1145,"label_1"
"49","Rise_true","2019-08-13T00:00:00.000Z",240,""
"50","Rise_false","2019-08-13T00:00:00.000Z",1155,""
