"","series","timestamp","value","label"
"1","Rise_true","2019-08-01T00:00:00.000Z",225,""
"2","Rise_false","2019-08-01T00:00:00.000Z",1155,""
"3","Rise_true","2019-08-02T00:00:00.000Z",235,""
"4","Rise_false","2019-08-02T00:00:00.000Z",1155,""
"5","Rise_true","2019-08-03T00:00:00.000Z",220,"label_1"
"6","Rise_false","2019-08-03T00:00:00.000Z",1155,""
"7","Rise_true","2019-08-04T00:00:00.000Z",225,""
"8","Rise_false","2019-08-04T00:00:00.000Z",1150,""
"9","Rise_true","2019-08-05T00:00:00.000Z",235,""
"10","Rise_false","2019-08-05T00:00:00.000Z",1155,""
"11","Rise_true","2019-08-06T00:00:00.000Z",235,""
"12","Rise_false","2019-08-06T00:00:00.000Z",1145,""
"13","Rise_true","2019-08-07T00:00:00.000Z",260,"label_1"
"14","Rise_false","2019-08-07T00:00:00.000Z",1140,""
"15","Rise_true","2019-08-08T00:00:00.000Z",235,""
"16","Rise_false","2019-08-08T00:00:00.000Z",1145,""
"17","Rise_true","2019-08-09T00:00:00.000Z",235,""
"18","Rise_false","2019-08-09T00:00:00.000Z",1140,""
"19","Rise_true","2019-08-10T00:00:00.000Z",250,""
"20","Rise_false","2019-08-10T00:00:00.000Z",1140,""
"21","Rise_true","2019-08-11T00:00:00.000Z",255,""
"22","Rise_false","2019-08-11T00:00:00.000Z",1095,"label_1"
"23","Rise_true","2019-08-12T00:00:00.000Z",255,""
"24","Rise_false","2019-08-12T00:00:00.000Z",1130,""
"25","Rise_true","2019-08-13T00:00:00.000Z",245,""
"26","Rise_false","2019-08-13T00:00:00.000Z",1135,""
"27","Rise_true","2019-08-14T00:00:00.000Z",285,"label_1"
"28","Rise_false","2019-08-14T00:00:00.000Z",1135,""
"29","Rise_true","2019-08-15T00:00:00.000Z",250,""
"30","Rise_false","2019-08-15T00:00:00.000Z",1125,""
"31","Rise_true","2019-08-16T00:00:00.000Z",250,""
"32","Rise_false","2019-08-16T00:00:00.000Z",1130,""
"33","Rise_true","2019-08-17T00:00:00.000Z",260,""
"34","Rise_false","2019-08-17T00:00:00.000Z",1125,""
"35","Rise_true","2019-08-18T00:00:00.000Z",255,""
"36","Rise_false","2019-08-18T00:00:00.000Z",1115,""
"37","Rise_true","2019-08-19T00:00:00.000Z",285,"label_1"
"38","Rise_false","2019-08-19T00:00:00.000Z",1115,""
"39","Rise_true","2019-08-20T00:00:00.000Z",285,"label_1"
"40","Rise_false","2019-08-20T00:00:00.000Z",1085,"label_1"
"41","Rise_true","2019-08-21T00:00:00.000Z",260,""
"42","Rise_false","2019-08-21T00:00:00.000Z",1115,""
"43","Rise_true","2019-08-22T00:00:00.000Z",265,""
"44","Rise_false","2019-08-22T00:00:00.000Z",1120,""
"45","Rise_true","2019-08-23T00:00:00.000Z",260,""
"46","Rise_false","2019-08-23T00:00:00.000Z",1115,""
"47","Rise_true","2019-08-24T00:00:00.000Z",270,""
"48","Rise_false","2019-08-24T00:00:00.000Z",1115,""
"49","Rise_true","2019-08-25T00:00:00.000Z",265,""
"50","Rise_false","2019-08-25T00:00:00.000Z",1115,""
"51","Rise_true","2019-08-26T00:00:00.000Z",265,""
"52","Rise_false","2019-08-26T00:00:00.000Z",1110,""
"53","Rise_true","2019-08-27T00:00:00.000Z",265,""
"54","Rise_false","2019-08-27T00:00:00.000Z",1100,""
"55","Rise_true","2019-08-28T00:00:00.000Z",270,""
"56","Rise_false","2019-08-28T00:00:00.000Z",1100,""
"57","Rise_true","2019-08-29T00:00:00.000Z",270,""
"58","Rise_false","2019-08-29T00:00:00.000Z",1105,""
"59","Rise_true","2019-08-30T00:00:00.000Z",270,""
"60","Rise_false","2019-08-30T00:00:00.000Z",1105,""
"61","Rise_true","2019-08-31T00:00:00.000Z",270,""
"62","Rise_false","2019-08-31T00:00:00.000Z",1090,""
"63","Rise_true","2019-09-01T00:00:00.000Z",305,"label_1"
"64","Rise_false","2019-09-01T00:00:00.000Z",1070,"label_1"
"65","Rise_true","2019-09-02T00:00:00.000Z",285,""
"66","Rise_false","2019-09-02T00:00:00.000Z",1095,""
"67","Rise_true","2019-09-03T00:00:00.000Z",300,"label_1"
"68","Rise_false","2019-09-03T00:00:00.000Z",1090,""
"69","Rise_true","2019-09-04T00:00:00.000Z",275,""
"70","Rise_false","2019-09-04T00:00:00.000Z",1090,""
"71","Rise_true","2019-09-05T00:00:00.000Z",285,""
"72","Rise_false","2019-09-05T00:00:00.000Z",1070,""
"73","Rise_true","2019-09-06T00:00:00.000Z",280,""
"74","Rise_false","2019-09-06T00:00:00.000Z",1060,""
"75","Rise_true","2019-09-07T00:00:00.000Z",290,""
