"","series","timestamp","value","label"
"1","Rise_true","2020-07-14T00:00:00.000Z",195,""
"2","Rise_false","2020-07-14T00:00:00.000Z",1185,""
"3","Rise_true","2020-07-15T00:00:00.000Z",200,""
"4","Rise_false","2020-07-15T00:00:00.000Z",1185,""
"5","Rise_true","2020-07-16T00:00:00.000Z",205,""
"6","Rise_false","2020-07-16T00:00:00.000Z",1175,""
"7","Rise_true","2020-07-17T00:00:00.000Z",200,""
"8","Rise_false","2020-07-17T00:00:00.000Z",1190,""
"9","Rise_true","2020-07-18T00:00:00.000Z",200,""
"10","Rise_false","2020-07-18T00:00:00.000Z",1180,""
"11","Rise_true","2020-07-19T00:00:00.000Z",200,""
"12","Rise_false","2020-07-19T00:00:00.000Z",1185,""
"13","Rise_true","2020-07-20T00:00:00.000Z",200,""
"14","Rise_false","2020-07-20T00:00:00.000Z",1180,""
"15","Rise_true","2020-07-21T00:00:00.000Z",200,""
"16","Rise_false","2020-07-21T00:00:00.000Z",1175,""
"17","Rise_true","2020-07-22T00:00:00.000Z",210,""
"18","Rise_false","2020-07-22T00:00:00.000Z",1160,""
"19","Rise_true","2020-07-23T00:00:00.000Z",215,""
"20","Rise_false","2020-07-23T00:00:00.000Z",1165,""
"21","Rise_true","2020-07-24T00:00:00.000Z",215,""
"22","Rise_false","2020-07-24T00:00:00.000Z",1160,""
"23","Rise_true","2020-07-25T00:00:00.000Z",220,""
"24","Rise_false","2020-07-25T00:00:00.000Z",1175,""
"25","Rise_true","2020-07-26T00:00:00.000Z",225,""
"26","Rise_false","2020-07-26T00:00:00.000Z",1175,""
"27","Rise_true","2020-07-27T00:00:00.000Z",220,""
"28","Rise_false","2020-07-27T00:00:00.000Z",1165,""
"29","Rise_true","2020-07-28T00:00:00.000Z",215,""
"30","Rise_false","2020-07-28T00:00:00.000Z",1160,""
"31","Rise_true","2020-07-29T00:00:00.000Z",215,""
"32","Rise_false","2020-07-29T00:00:00.000Z",1155,""
"33","Rise_true","2020-07-30T00:00:00.000Z",220,""
"34","Rise_false","2020-07-30T00:00:00.000Z",1165,""
"35","Rise_true","2020-07-31T00:00:00.000Z",225,""
"36","Rise_false","2020-07-31T00:00:00.000Z",1160,""
"37","Rise_true","2020-08-01T00:00:00.000Z",225,""
"38","Rise_false","2020-08-01T00:00:00.000Z",1160,""
"39","Rise_true","2020-08-02T00:00:00.000Z",240,""
"40","Rise_false","2020-08-02T00:00:00.000Z",1150,""
"41","Rise_true","2020-08-03T00:00:00.000Z",235,""
"42","Rise_false","2020-08-03T00:00:00.000Z",1140,""
"43","Rise_true","2020-08-04T00:00:00.000Z",270,"label_1"
"44","Rise_false","2020-08-04T00:00:00.000Z",1155,""
"45","Rise_true","2020-08-05T00:00:00.000Z",230,""
"46","Rise_false","2020-08-05T00:00:00.000Z",1150,""
"47","Rise_true","2020-08-06T00:00:00.000Z",230,""
