ring_number,tag_id,observation_type,datetime,latitude,longitude,location_name,device_status,observer,catching_method,age_class,sex,condition,mass,wing_length,additional_metric,observation_comments
N566640,16IQ,equipment,2016-06-24T18:00:00Z,46.5427,8.68364,CH_AlpeDiPiora,present,Yann Rime,L,6,F,alive,26,93,,
N566640,16IQ,retrieval,2017-06-15T17:56:00Z,46.542677,8.683736,CH_AlpeDiPiora,present,Yann Rime,N,6,F,alive,26,91,,
N566638,16IT,equipment,2016-06-24T10:00:00Z,46.54849,8.68682,CH_AlpeDiPiora,present,Yann Rime,L,6,M,alive,25,98,,
N566638,16IT,retrieval,2017-06-23T09:51:00Z,46.54821,8.687765,CH_AlpeDiPiora,present,Yann Rime,N,6,M,alive,24,97,,
N566669,16JB,equipment,2016-07-04T16:00:00Z,46.54841,8.72989,CH_AlpeDiPiora,present,Yann Rime,N,5,M,alive,25,95,,
N566669,16JB,retrieval,2017-07-13T13:30:00Z,46.547025,8.720758,CH_AlpeDiPiora,present,Yann Rime,L,6,M,alive,26.5,97,,
N566642,16JL,equipment,2016-06-27T09:00:00Z,46.54263,8.68315,CH_AlpeDiPiora,present,Yann Rime,N,6,F,alive,26.5,94.5,,
N566642,16JL,retrieval,2017-05-30T10:06:00Z,46.542738,8.683855,CH_AlpeDiPiora,present,Yann Rime,N,6,F,alive,20,98,,
N566688,20TJ,equipment,2018-06-23T08:40:00Z,46.550143,8.703374,CH_AlpeDiPiora,present,Yann Rime,N,6,F,alive,24.5,95,,
N566688,20TJ,retrieval,2019-07-02T17:32:00Z,46.549634,8.703845,CH_AlpeDiPiora,present,Yann Rime,N,6,F,alive,25,95,,
N566965,20TZ,equipment,2018-07-04T17:22:00Z,46.553141,8.690984,CH_AlpeDiPiora,present,Yann Rime,N,4,F,alive,25,93,,
N566965,20TZ,retrieval,2019-07-10T14:50:00Z,46.551667,8.687636,CH_AlpeDiPiora,present,Yann Rime,L,6,F,alive,24,92,,
LW59549,24DK,equipment,2019-06-26T16:00:00Z,44.95344,6.96995,IT_ValTroncea,present,Martha Maria Sander,N,6,M,alive,23.7,,,
LW59549,24DK,retrieval,2020-05-24T09:00:00Z,44.952386,6.971902,IT_ValTroncea,present,Martha Maria Sander,L,6,M,alive,,,,
LW59569,24EA,equipment,2019-06-30T09:00:00Z,44.95177,6.96333,IT_ValTroncea,present,Martha Maria Sander,N,4,F,alive,21.1,,,
LW59569,24EA,retrieval,2020-06-06T09:00:00Z,44.952292,6.964431,IT_ValTroncea,present,Martha Maria Sander,N,4,F,alive,,,,
LW59578,24EP,equipment,2019-06-30T09:16:00Z,44.95177,6.96333,IT_ValTroncea,present,Martha Maria Sander,N,5,M,alive,22.9,,,
LW59578,24EP,retrieval,2020-05-20T10:00:00Z,44.952292,6.964431,IT_ValTroncea,present,Martha Maria Sander,L,6,M,alive,,,,
N588304,24IS,equipment,2019-07-10T11:46:00Z,46.554927,8.692212,CH_AlpeDiPiora,present,Yann Rime,L,6,M,alive,26,97,,
N588304,24IS,retrieval,2020-06-24T18:17:00Z,46.554566,8.691513,CH_AlpeDiPiora,present,Yann Rime,N,6,M,alive,28,98,,
LM71062,24TJ,equipment,2020-06-19T11:00:00Z,44.974711,6.956946,IT_ValTroncea,present,Martha Maria Sander,Z,6,M,alive,22.6,,,
LM71062,24TJ,retrieval,2021-06-05T12:00:00Z,44.97373,6.95679,IT_ValTroncea,present,Martha Maria Sander,Z,6,M,alive,,,,
N643031,26HS,equipment,2020-07-06T18:07:00Z,46.553613,8.711702,CH_AlpeDiPiora,present,Yann Rime,N,6,F,alive,24.5,93,,
N643031,26HS,retrieval,2021-06-23T09:09:00Z,46.552934,8.712064,CH_AlpeDiPiora,present,Yann Rime,N,6,F,alive,24,90,,
N566945,26IL,equipment,2020-07-13T09:36:00Z,46.549204,8.70603,CH_AlpeDiPiora,present,Yann Rime,N,6,M,alive,23,95.5,,
N566945,26IL,retrieval,2021-06-30T17:10:00Z,46.549148,8.706352,CH_AlpeDiPiora,present,Yann Rime,N,6,M,alive,25,92.5,,
N643042,26IM,equipment,2020-07-13T08:36:00Z,46.550758,8.705503,CH_AlpeDiPiora,present,Yann Rime,N,6,M,alive,23.5,95,,
N643042,26IM,retrieval,2021-05-28T08:56:00Z,46.549846,8.705011,CH_AlpeDiPiora,present,Yann Rime,L,6,M,alive,24,95.5,,
