tag_id,ring_number,scientific_name,manufacturer,model,firwmare,weight,attachment_type,readout_method,tag_comments
16IQ,N566640,Oenanthe oenanthe,Swiss Ornithological Institute,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,leg-loop-harness,tag-retrieval,
16IT,N566638,Oenanthe oenanthe,Swiss Ornithological Institute,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,leg-loop-harness,tag-retrieval,
16JB,N566669,Oenanthe oenanthe,Swiss Ornithological Institute,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,leg-loop-harness,tag-retrieval,
16JL,N566642,Oenanthe oenanthe,Swiss Ornithological Institute,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,leg-loop-harness,tag-retrieval,
20TJ,N566688,Oenanthe oenanthe,Swiss Ornithological Institute,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,leg-loop-harness,tag-retrieval,
20TZ,N566965,Oenanthe oenanthe,Swiss Ornithological Institute,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,leg-loop-harness,tag-retrieval,
24DK,LW59549,Oenanthe oenanthe,Swiss Ornithological Institute,GDL3pam_V2.3,GDL3pam_V2.5.0,1,leg-loop-harness,tag-retrieval,
24EA,LW59569,Oenanthe oenanthe,Swiss Ornithological Institute,GDL3pam_V2.3,GDL3pam_V2.5.0,1.1,leg-loop-harness,tag-retrieval,
24EP,LW59578,Oenanthe oenanthe,Swiss Ornithological Institute,GDL3pam_V2.3,GDL3pam_V2.5.0,1.1,leg-loop-harness,tag-retrieval,
24IS,N588304,Oenanthe oenanthe,Swiss Ornithological Institute,GDL3pam_V2.3,GDL3pam_V2.5.0,,leg-loop-harness,tag-retrieval,
24TJ,LM71062,Oenanthe oenanthe,Swiss Ornithological Institute,GDL3pam_V2.3,GDL3pam_V2.5.1,1.1,leg-loop-harness,tag-retrieval,
26HS,N643031,Oenanthe oenanthe,Swiss Ornithological Institute,GDL3pam_V2.3,GDL3pam_V2.5.1,,leg-loop-harness,tag-retrieval,
26IL,N566945,Oenanthe oenanthe,Swiss Ornithological Institute,GDL3pam_V2.3,GDL3pam_V2.5.1,,leg-loop-harness,tag-retrieval,
26IM,N643042,Oenanthe oenanthe,Swiss Ornithological Institute,GDL3pam_V2.3,GDL3pam_V2.5.1,,leg-loop-harness,tag-retrieval,
