series,timestamp,value,label
Rise,2016-07-01T03:50:00.000Z,230.5,discard
Set,2016-07-01T17:40:00.000Z,1060.5,discard
Rise,2016-07-02T04:35:00.000Z,275.5,discard
Set,2016-07-02T17:10:00.000Z,1030.5,discard
Rise,2016-07-03T05:40:00.000Z,340.5,discard
Set,2016-07-03T11:25:00.000Z,685.5,discard
Rise,2016-07-04T04:55:00.000Z,295.5,discard
Set,2016-07-04T19:50:00.000Z,1190.5,1
Rise,2016-07-05T03:05:00.000Z,185.5,1
Set,2016-07-05T19:50:00.000Z,1190.5,1
Rise,2016-07-06T03:05:00.000Z,185.5,1
Set,2016-07-06T20:00:00.000Z,1200.5,1
Rise,2016-07-07T03:10:00.000Z,190.5,1
Set,2016-07-07T19:50:00.000Z,1190.5,1
Rise,2016-07-08T03:15:00.000Z,195.5,1
Set,2016-07-08T19:45:00.000Z,1185.5,1
Rise,2016-07-09T03:05:00.000Z,185.5,1
Set,2016-07-09T19:55:00.000Z,1195.5,1
Rise,2016-07-10T03:10:00.000Z,190.5,1
Set,2016-07-10T19:40:00.000Z,1180.5,1
Rise,2016-07-11T03:15:00.000Z,195.5,1
Set,2016-07-11T19:50:00.000Z,1190.5,1
Rise,2016-07-12T03:20:00.000Z,200.5,1
Set,2016-07-12T19:40:00.000Z,1180.5,1
Rise,2016-07-13T03:10:00.000Z,190.5,1
Set,2016-07-13T19:40:00.000Z,1180.5,1
Rise,2016-07-14T03:20:00.000Z,200.5,1
Set,2016-07-14T19:50:00.000Z,1190.5,1
Rise,2016-07-15T03:20:00.000Z,200.5,1
Set,2016-07-15T19:35:00.000Z,1175.5,1
Rise,2016-07-16T03:25:00.000Z,205.5,1
Set,2016-07-16T19:45:00.000Z,1185.5,1
Rise,2016-07-17T03:20:00.000Z,200.5,1
Set,2016-07-17T19:55:00.000Z,1195.5,1
Rise,2016-07-18T03:20:00.000Z,200.5,1
Set,2016-07-18T19:55:00.000Z,1195.5,1
Rise,2016-07-19T03:25:00.000Z,205.5,1
Set,2016-07-19T19:50:00.000Z,1190.5,1
Rise,2016-07-20T03:25:00.000Z,205.5,1
Set,2016-07-20T19:40:00.000Z,1180.5,1
Rise,2016-07-21T04:30:00.000Z,270.5,discard
Set,2016-07-21T19:40:00.000Z,1180.5,1
Rise,2016-07-22T03:30:00.000Z,210.5,1
Set,2016-07-22T19:20:00.000Z,1160.5,1
Rise,2016-07-23T03:35:00.000Z,215.5,1
Set,2016-07-23T19:35:00.000Z,1175.5,1
Rise,2016-07-24T03:30:00.000Z,210.5,1
Set,2016-07-24T19:30:00.000Z,1170.5,1
Rise,2016-07-25T03:40:00.000Z,220.5,1
Set,2016-07-25T19:30:00.000Z,1170.5,1
Rise,2016-07-26T03:35:00.000Z,215.5,1
Set,2016-07-26T19:30:00.000Z,1170.5,1
Rise,2016-07-27T03:35:00.000Z,215.5,1
Set,2016-07-27T19:25:00.000Z,1165.5,1
Rise,2016-07-28T03:35:00.000Z,215.5,1
Set,2016-07-28T19:25:00.000Z,1165.5,1
Rise,2016-07-29T03:45:00.000Z,225.5,1
Set,2016-07-29T19:20:00.000Z,1160.5,1
Rise,2016-07-30T03:35:00.000Z,215.5,1
Set,2016-07-30T19:25:00.000Z,1165.5,1
Rise,2016-07-31T03:55:00.000Z,235.5,1
Set,2016-07-31T19:15:00.000Z,1155.5,1
Rise,2016-08-01T03:45:00.000Z,225.5,1
Set,2016-08-01T19:15:00.000Z,1155.5,1
Rise,2016-08-02T03:45:00.000Z,225.5,1
Set,2016-08-02T19:15:00.000Z,1155.5,1
Rise,2016-08-03T03:50:00.000Z,230.5,1
Set,2016-08-03T19:10:00.000Z,1150.5,1
Rise,2016-08-04T03:55:00.000Z,235.5,1
Set,2016-08-04T18:45:00.000Z,1125.5,1
Rise,2016-08-05T04:00:00.000Z,240.5,1
Set,2016-08-05T19:05:00.000Z,1145.5,1
Rise,2016-08-06T04:00:00.000Z,240.5,1
Set,2016-08-06T19:10:00.000Z,1150.5,1
Rise,2016-08-07T03:55:00.000Z,235.5,1
Set,2016-08-07T19:10:00.000Z,1150.5,1
Rise,2016-08-08T03:55:00.000Z,235.5,1
Set,2016-08-08T19:05:00.000Z,1145.5,1
Rise,2016-08-09T04:00:00.000Z,240.5,1
Set,2016-08-09T18:55:00.000Z,1135.5,1
Rise,2016-08-10T04:00:00.000Z,240.5,1
Set,2016-08-10T18:50:00.000Z,1130.5,1
Rise,2016-08-11T04:00:00.000Z,240.5,1
Set,2016-08-11T19:00:00.000Z,1140.5,1
Rise,2016-08-12T04:10:00.000Z,250.5,1
Set,2016-08-12T19:00:00.000Z,1140.5,1
Rise,2016-08-13T04:05:00.000Z,245.5,1
Set,2016-08-13T19:00:00.000Z,1140.5,1
Rise,2016-08-14T04:00:00.000Z,240.5,1
Set,2016-08-14T18:40:00.000Z,1120.5,1
Rise,2016-08-15T04:10:00.000Z,250.5,1
Set,2016-08-15T18:45:00.000Z,1125.5,1
Rise,2016-08-16T04:10:00.000Z,250.5,1
Set,2016-08-16T18:15:00.000Z,1095.5,1
Rise,2016-08-17T04:10:00.000Z,250.5,1
Set,2016-08-17T18:45:00.000Z,1125.5,1
Rise,2016-08-18T04:10:00.000Z,250.5,1
Set,2016-08-18T18:35:00.000Z,1115.5,1
Rise,2016-08-19T04:15:00.000Z,255.5,1
Set,2016-08-19T18:45:00.000Z,1125.5,1
Rise,2016-08-20T04:15:00.000Z,255.5,1
Set,2016-08-20T18:35:00.000Z,1115.5,1
Rise,2016-08-21T04:25:00.000Z,265.5,1
Set,2016-08-21T18:35:00.000Z,1115.5,1
Rise,2016-08-22T04:25:00.000Z,265.5,1
