"series","timestamp","value","label"
"Rise","2016-07-01T03:15:00Z",195.5,"1"
"Set","2016-07-01T19:35:00Z",1175.5,"1"
"Rise","2016-07-02T03:25:00Z",205.5,"1"
"Set","2016-07-02T19:40:00Z",1180.5,"1"
"Rise","2016-07-03T03:20:00Z",200.5,"1"
"Set","2016-07-03T19:40:00Z",1180.5,"1"
"Rise","2016-07-04T03:20:00Z",200.5,"1"
"Set","2016-07-04T19:30:00Z",1170.5,"1"
"Rise","2016-07-05T03:15:00Z",195.5,"1"
"Set","2016-07-05T19:35:00Z",1175.5,"1"
"Rise","2016-07-06T03:20:00Z",200.5,"1"
"Set","2016-07-06T19:40:00Z",1180.5,"1"
"Rise","2016-07-07T03:20:00Z",200.5,"1"
"Set","2016-07-07T19:40:00Z",1180.5,"1"
"Rise","2016-07-08T03:30:00Z",210.5,"1"
"Set","2016-07-08T19:50:00Z",1190.5,"1"
"Rise","2016-07-09T03:15:00Z",195.5,"1"
"Set","2016-07-09T19:40:00Z",1180.5,"1"
"Rise","2016-07-10T03:10:00Z",190.5,"1"
"Set","2016-07-10T19:40:00Z",1180.5,"1"
"Rise","2016-07-11T03:20:00Z",200.5,"1"
"Set","2016-07-11T19:35:00Z",1175.5,"1"
"Rise","2016-07-12T03:30:00Z",210.5,"1"
"Set","2016-07-12T19:25:00Z",1165.5,"1"
"Rise","2016-07-13T03:25:00Z",205.5,"1"
"Set","2016-07-13T19:30:00Z",1170.5,"1"
"Rise","2016-07-14T03:40:00Z",220.5,"1"
"Set","2016-07-14T19:25:00Z",1165.5,"1"
"Rise","2016-07-15T03:25:00Z",205.5,"1"
"Set","2016-07-15T19:20:00Z",1160.5,"1"
"Rise","2016-07-16T03:25:00Z",205.5,"1"
"Set","2016-07-16T19:40:00Z",1180.5,"1"
"Rise","2016-07-17T03:15:00Z",195.5,"1"
"Set","2016-07-17T19:40:00Z",1180.5,"1"
"Rise","2016-07-18T03:15:00Z",195.5,"1"
"Set","2016-07-18T19:35:00Z",1175.5,"1"
"Rise","2016-07-19T03:20:00Z",200.5,"1"
"Set","2016-07-19T19:40:00Z",1180.5,"1"
"Rise","2016-07-20T03:15:00Z",195.5,"1"
"Set","2016-07-20T19:35:00Z",1175.5,"1"
"Rise","2016-07-21T03:40:00Z",220.5,"1"
"Set","2016-07-21T19:35:00Z",1175.5,"1"
"Rise","2016-07-22T03:30:00Z",210.5,"1"
"Set","2016-07-22T19:25:00Z",1165.5,"1"
"Rise","2016-07-23T03:45:00Z",225.5,"1"
"Set","2016-07-23T19:25:00Z",1165.5,"1"
"Rise","2016-07-24T03:30:00Z",210.5,"1"
"Set","2016-07-24T19:35:00Z",1175.5,"1"
"Rise","2016-07-25T03:30:00Z",210.5,"1"
"Set","2016-07-25T19:25:00Z",1165.5,"1"
"Rise","2016-07-26T03:25:00Z",205.5,"1"
"Set","2016-07-26T19:25:00Z",1165.5,"1"
"Rise","2016-07-27T03:30:00Z",210.5,"1"
"Set","2016-07-27T19:25:00Z",1165.5,"1"
"Rise","2016-07-28T03:35:00Z",215.5,"1"
"Set","2016-07-28T19:30:00Z",1170.5,"1"
"Rise","2016-07-29T03:30:00Z",210.5,"1"
"Set","2016-07-29T19:30:00Z",1170.5,"1"
"Rise","2016-07-30T03:25:00Z",205.5,"1"
"Set","2016-07-30T19:25:00Z",1165.5,"1"
"Rise","2016-07-31T03:50:00Z",230.5,"1"
"Set","2016-07-31T19:25:00Z",1165.5,"1"
"Rise","2016-08-01T03:35:00Z",215.5,"1"
"Set","2016-08-01T19:20:00Z",1160.5,"1"
"Rise","2016-08-02T03:50:00Z",230.5,"1"
"Set","2016-08-02T19:10:00Z",1150.5,"1"
"Rise","2016-08-03T03:40:00Z",220.5,"1"
"Set","2016-08-03T19:10:00Z",1150.5,"1"
"Rise","2016-08-04T03:40:00Z",220.5,"1"
"Set","2016-08-04T19:05:00Z",1145.5,"1"
"Rise","2016-08-05T04:00:00Z",240.5,"1"
"Set","2016-08-05T19:10:00Z",1150.5,"1"
"Rise","2016-08-06T04:00:00Z",240.5,"1"
"Set","2016-08-06T19:10:00Z",1150.5,"1"
"Rise","2016-08-07T03:50:00Z",230.5,"1"
"Set","2016-08-07T19:10:00Z",1150.5,"1"
"Rise","2016-08-08T03:50:00Z",230.5,"1"
"Set","2016-08-08T18:55:00Z",1135.5,"1"
"Rise","2016-08-09T03:55:00Z",235.5,"1"
"Set","2016-08-09T19:00:00Z",1140.5,"1"
"Rise","2016-08-10T03:55:00Z",235.5,"1"
"Set","2016-08-10T19:00:00Z",1140.5,"1"
"Rise","2016-08-11T03:50:00Z",230.5,"1"
"Set","2016-08-11T19:00:00Z",1140.5,"1"
"Rise","2016-08-12T04:05:00Z",245.5,"1"
"Set","2016-08-12T19:05:00Z",1145.5,"1"
"Rise","2016-08-13T03:55:00Z",235.5,"1"
"Set","2016-08-13T19:00:00Z",1140.5,"1"
"Rise","2016-08-14T04:00:00Z",240.5,"1"
"Set","2016-08-14T18:45:00Z",1125.5,"1"
"Rise","2016-08-15T04:10:00Z",250.5,"1"
"Set","2016-08-15T18:40:00Z",1120.5,"1"
"Rise","2016-08-16T04:00:00Z",240.5,"1"
"Set","2016-08-16T18:50:00Z",1130.5,"1"
"Rise","2016-08-17T04:05:00Z",245.5,"1"
"Set","2016-08-17T18:45:00Z",1125.5,"1"
"Rise","2016-08-18T04:10:00Z",250.5,"1"
"Set","2016-08-18T18:40:00Z",1120.5,"1"
"Rise","2016-08-19T04:15:00Z",255.5,"1"
"Set","2016-08-19T18:35:00Z",1115.5,"1"
"Rise","2016-08-20T04:15:00Z",255.5,"1"
"Set","2016-08-20T18:30:00Z",1110.5,"1"
"Rise","2016-08-21T04:10:00Z",250.5,"1"
"Set","2016-08-21T18:40:00Z",1120.5,"1"
"Rise","2016-08-22T04:10:00Z",250.5,"1"
"Set","2016-08-22T18:40:00Z",1120.5,"1"
"Rise","2016-08-23T04:05:00Z",245.5,"1"
"Set","2016-08-23T18:35:00Z",1115.5,"1"
"Rise","2016-08-24T04:15:00Z",255.5,"1"
"Set","2016-08-24T18:35:00Z",1115.5,"1"
"Rise","2016-08-25T04:25:00Z",265.5,"1"
"Set","2016-08-25T18:35:00Z",1115.5,"1"
"Rise","2016-08-26T04:25:00Z",265.5,"1"
"Set","2016-08-26T18:30:00Z",1110.5,"1"
"Rise","2016-08-27T04:20:00Z",260.5,"1"
"Set","2016-08-27T18:25:00Z",1105.5,"1"
"Rise","2016-08-28T04:20:00Z",260.5,"1"
"Set","2016-08-28T18:25:00Z",1105.5,"1"
"Rise","2016-08-29T04:25:00Z",265.5,"1"
"Set","2016-08-29T18:20:00Z",1100.5,"1"
"Rise","2016-08-30T04:30:00Z",270.5,"1"
"Set","2016-08-30T18:20:00Z",1100.5,"1"
"Rise","2016-08-31T04:20:00Z",260.5,"1"
"Set","2016-08-31T18:15:00Z",1095.5,"1"
"Rise","2016-09-01T04:25:00Z",265.5,"1"
"Set","2016-09-01T18:15:00Z",1095.5,"1"
"Rise","2016-09-02T04:30:00Z",270.5,"1"
"Set","2016-09-02T18:15:00Z",1095.5,"1"
"Rise","2016-09-03T04:30:00Z",270.5,"1"
"Set","2016-09-03T18:20:00Z",1100.5,"1"
"Rise","2016-09-04T04:35:00Z",275.5,"1"
"Set","2016-09-04T17:55:00Z",1075.5,"1"
"Rise","2016-09-05T04:30:00Z",270.5,"1"
"Set","2016-09-05T18:10:00Z",1090.5,"1"
"Rise","2016-09-06T04:30:00Z",270.5,"1"
"Set","2016-09-06T18:10:00Z",1090.5,"1"
"Rise","2016-09-07T04:35:00Z",275.5,"1"
"Set","2016-09-07T18:05:00Z",1085.5,"1"
"Rise","2016-09-08T04:35:00Z",275.5,"1"
"Set","2016-09-08T18:10:00Z",1090.5,"1"
"Rise","2016-09-09T04:30:00Z",270.5,"1"
"Set","2016-09-09T18:00:00Z",1080.5,"1"
"Rise","2016-09-10T04:40:00Z",280.5,"1"
"Set","2016-09-10T17:45:00Z",1065.5,"1"
"Rise","2016-09-11T04:50:00Z",290.5,"1"
"Set","2016-09-11T17:35:00Z",1055.5,"1"
"Rise","2016-09-12T05:00:00Z",300.5,"1"
"Set","2016-09-12T17:55:00Z",1075.5,"1"
"Rise","2016-09-13T04:55:00Z",295.5,"1"
"Set","2016-09-13T17:50:00Z",1070.5,"1"
"Rise","2016-09-14T04:45:00Z",285.5,"1"
"Set","2016-09-14T17:50:00Z",1070.5,"1"
"Rise","2016-09-15T05:30:00Z",330.5,"1"
"Set","2016-09-15T17:30:00Z",1050.5,"1"
"Rise","2016-09-16T05:30:00Z",330.5,"1"
"Set","2016-09-16T17:20:00Z",1040.5,"1"
"Rise","2016-09-17T05:10:00Z",310.5,"1"
"Set","2016-09-17T17:35:00Z",1055.5,"1"
"Rise","2016-09-18T04:55:00Z",295.5,"2"
"Set","2016-09-18T17:35:00Z",1055.5,"2"
"Rise","2016-09-19T04:55:00Z",295.5,"3"
"Set","2016-09-19T17:25:00Z",1045.5,"3"
"Rise","2016-09-20T04:50:00Z",290.5,"4"
"Set","2016-09-20T17:35:00Z",1055.5,"4"
"Rise","2016-09-21T05:05:00Z",305.5,"5"
"Set","2016-09-21T17:20:00Z",1040.5,"5"
"Rise","2016-09-22T04:55:00Z",295.5,"5"
"Set","2016-09-22T17:30:00Z",1050.5,"5"
"Rise","2016-09-23T05:00:00Z",300.5,"5"
"Set","2016-09-23T16:35:00Z",995.5,"5"
"Rise","2016-09-24T04:45:00Z",285.5,"5"
"Set","2016-09-24T17:05:00Z",1025.5,"5"
"Rise","2016-09-25T05:05:00Z",305.5,"5"
"Set","2016-09-25T17:10:00Z",1030.5,"5"
"Rise","2016-09-26T05:05:00Z",305.5,"5"
"Set","2016-09-26T17:25:00Z",1045.5,"5"
"Rise","2016-09-27T05:10:00Z",310.5,"5"
"Set","2016-09-27T17:10:00Z",1030.5,"5"
"Rise","2016-09-28T05:05:00Z",305.5,"5"
"Set","2016-09-28T17:15:00Z",1035.5,"5"
"Rise","2016-09-29T05:15:00Z",315.5,"5"
"Set","2016-09-29T17:00:00Z",1020.5,"5"
"Rise","2016-09-30T05:05:00Z",305.5,"5"
"Set","2016-09-30T17:15:00Z",1035.5,"5"
"Rise","2016-10-01T05:15:00Z",315.5,"5"
"Set","2016-10-01T17:05:00Z",1025.5,"5"
"Rise","2016-10-02T05:10:00Z",310.5,"5"
"Set","2016-10-02T17:05:00Z",1025.5,"5"
"Rise","2016-10-03T05:10:00Z",310.5,"6"
"Set","2016-10-03T17:20:00Z",1040.5,"6-5"
"Rise","2016-10-04T05:20:00Z",320.5,"7"
"Set","2016-10-04T17:40:00Z",1060.5,"7"
"Rise","2016-10-05T05:20:00Z",320.5,"8"
"Set","2016-10-05T17:25:00Z",1045.5,"8"
"Rise","2016-10-06T05:35:00Z",335.5,"9"
"Set","2016-10-06T16:55:00Z",1015.5,"9"
"Rise","2016-10-07T05:10:00Z",310.5,"10"
"Set","2016-10-07T17:10:00Z",1030.5,"10"
"Rise","2016-10-08T05:10:00Z",310.5,"10"
"Set","2016-10-08T17:05:00Z",1025.5,"10"
"Rise","2016-10-09T05:15:00Z",315.5,"10"
"Set","2016-10-09T17:00:00Z",1020.5,"10"
"Rise","2016-10-10T05:10:00Z",310.5,"10"
"Set","2016-10-10T17:00:00Z",1020.5,"10"
"Rise","2016-10-11T05:15:00Z",315.5,"10"
"Set","2016-10-11T17:10:00Z",1030.5,"10"
"Rise","2016-10-12T05:20:00Z",320.5,"10"
"Set","2016-10-12T17:05:00Z",1025.5,"10"
"Rise","2016-10-13T05:10:00Z",310.5,"10"
"Set","2016-10-13T17:00:00Z",1020.5,"10"
"Rise","2016-10-14T05:15:00Z",315.5,"10"
"Set","2016-10-14T17:00:00Z",1020.5,"10"
"Rise","2016-10-15T05:10:00Z",310.5,"10"
"Set","2016-10-15T16:55:00Z",1015.5,"10"
"Rise","2016-10-16T05:45:00Z",345.5,"11"
"Set","2016-10-16T17:15:00Z",1035.5,"11-75"
"Rise","2016-10-17T05:15:00Z",315.5,"12-5"
"Set","2016-10-17T17:10:00Z",1030.5,"13-25"
"Rise","2016-10-18T05:15:00Z",315.5,"14"
"Set","2016-10-18T17:15:00Z",1035.5,"14"
"Rise","2016-10-19T05:35:00Z",335.5,"15"
"Set","2016-10-19T17:35:00Z",1055.5,"15"
"Rise","2016-10-20T05:25:00Z",325.5,"15"
"Set","2016-10-20T17:25:00Z",1045.5,"15"
"Rise","2016-10-21T05:25:00Z",325.5,"15"
"Set","2016-10-21T17:30:00Z",1050.5,"15"
"Rise","2016-10-22T05:55:00Z",355.5,"15"
"Set","2016-10-22T17:25:00Z",1045.5,"15"
"Rise","2016-10-23T05:40:00Z",340.5,"15"
"Set","2016-10-23T17:25:00Z",1045.5,"15"
"Rise","2016-10-24T05:30:00Z",330.5,"15"
"Set","2016-10-24T17:30:00Z",1050.5,"15"
"Rise","2016-10-25T05:35:00Z",335.5,"15"
"Set","2016-10-25T17:20:00Z",1040.5,"15"
"Rise","2016-10-26T05:35:00Z",335.5,"15"
"Set","2016-10-26T17:15:00Z",1035.5,"15"
"Rise","2016-10-27T05:35:00Z",335.5,"15"
"Set","2016-10-27T17:20:00Z",1040.5,"15"
"Rise","2016-10-28T06:00:00Z",360.5,"15"
"Set","2016-10-28T17:20:00Z",1040.5,"15"
"Rise","2016-10-29T05:25:00Z",325.5,"15-5"
"Set","2016-10-29T17:15:00Z",1035.5,"16"
"Rise","2016-10-30T05:35:00Z",335.5,"17"
"Set","2016-10-30T17:20:00Z",1040.5,"17"
"Rise","2016-10-31T05:30:00Z",330.5,"17"
"Set","2016-10-31T17:20:00Z",1040.5,"17"
"Rise","2016-11-01T05:20:00Z",320.5,"17"
"Set","2016-11-01T17:25:00Z",1045.5,"17"
"Rise","2016-11-02T05:30:00Z",330.5,"17"
"Set","2016-11-02T17:20:00Z",1040.5,"17"
"Rise","2016-11-03T05:20:00Z",320.5,"17"
"Set","2016-11-03T17:20:00Z",1040.5,"17"
"Rise","2016-11-04T05:25:00Z",325.5,"17"
"Set","2016-11-04T17:20:00Z",1040.5,"17"
"Rise","2016-11-05T05:30:00Z",330.5,"17"
"Set","2016-11-05T17:20:00Z",1040.5,"17"
"Rise","2016-11-06T05:30:00Z",330.5,"17"
"Set","2016-11-06T17:20:00Z",1040.5,"17"
"Rise","2016-11-07T05:30:00Z",330.5,"17"
"Set","2016-11-07T17:15:00Z",1035.5,"17"
"Rise","2016-11-08T05:25:00Z",325.5,"17"
"Set","2016-11-08T17:20:00Z",1040.5,"17"
"Rise","2016-11-09T05:30:00Z",330.5,"17"
"Set","2016-11-09T17:25:00Z",1045.5,"17"
"Rise","2016-11-10T05:25:00Z",325.5,"17"
"Set","2016-11-10T17:20:00Z",1040.5,"17"
"Rise","2016-11-11T05:30:00Z",330.5,"17"
"Set","2016-11-11T08:30:00Z",510.5,"17"
