series,timestamp,value,label
Rise,2020-07-14T03:40:00.000Z,220.25,1
Set,2020-07-14T19:30:00.000Z,1170.25,1
Rise,2020-07-15T03:35:00.000Z,215.25,1
Set,2020-07-15T19:40:00.000Z,1180.25,1
Rise,2020-07-16T03:35:00.000Z,215.25,1
Set,2020-07-16T19:25:00.000Z,1165.25,1
Rise,2020-07-17T03:25:00.000Z,205.25,1
Set,2020-07-17T19:20:00.000Z,1160.25,1
Rise,2020-07-18T03:35:00.000Z,215.25,1
Set,2020-07-18T19:25:00.000Z,1165.25,1
Rise,2020-07-19T03:25:00.000Z,205.25,1
Set,2020-07-19T19:35:00.000Z,1175.25,1
Rise,2020-07-20T03:30:00.000Z,210.25,1
Set,2020-07-20T19:30:00.000Z,1170.25,1
Rise,2020-07-21T03:30:00.000Z,210.25,1
Set,2020-07-21T19:30:00.000Z,1170.25,1
Rise,2020-07-22T03:45:00.000Z,225.25,1
Set,2020-07-22T19:15:00.000Z,1155.25,1
Rise,2020-07-23T03:35:00.000Z,215.25,1
Set,2020-07-23T19:20:00.000Z,1160.25,1
Rise,2020-07-24T04:00:00.000Z,240.25,discard
Set,2020-07-24T19:20:00.000Z,1160.25,1
Rise,2020-07-25T03:40:00.000Z,220.25,1
Set,2020-07-25T19:10:00.000Z,1150.25,1
Rise,2020-07-26T04:10:00.000Z,250.25,discard
Set,2020-07-26T19:25:00.000Z,1165.25,1
Rise,2020-07-27T03:35:00.000Z,215.25,1
Set,2020-07-27T19:20:00.000Z,1160.25,1
Rise,2020-07-28T03:45:00.000Z,225.25,1
Set,2020-07-28T19:25:00.000Z,1165.25,1
Rise,2020-07-29T03:50:00.000Z,230.25,1
Set,2020-07-29T19:20:00.000Z,1160.25,1
Rise,2020-07-30T03:45:00.000Z,225.25,1
Set,2020-07-30T19:20:00.000Z,1160.25,1
Rise,2020-07-31T03:45:00.000Z,225.25,1
Set,2020-07-31T19:15:00.000Z,1155.25,1
Rise,2020-08-01T03:50:00.000Z,230.25,1
Set,2020-08-01T19:05:00.000Z,1145.25,1
Rise,2020-08-02T04:20:00.000Z,260.25,discard
Set,2020-08-02T19:10:00.000Z,1150.25,1
Rise,2020-08-03T04:00:00.000Z,240.25,1
Set,2020-08-03T18:40:00.000Z,1120.25,discard
Rise,2020-08-04T04:00:00.000Z,240.25,1
Set,2020-08-04T19:10:00.000Z,1150.25,1
Rise,2020-08-05T03:50:00.000Z,230.25,1
Set,2020-08-05T19:05:00.000Z,1145.25,1
Rise,2020-08-06T04:15:00.000Z,255.25,1
Set,2020-08-06T19:00:00.000Z,1140.25,1
Rise,2020-08-07T03:55:00.000Z,235.25,1
Set,2020-08-07T19:05:00.000Z,1145.25,1
Rise,2020-08-08T03:55:00.000Z,235.25,1
Set,2020-08-08T18:55:00.000Z,1135.25,1
Rise,2020-08-09T04:05:00.000Z,245.25,1
Set,2020-08-09T18:50:00.000Z,1130.25,1
Rise,2020-08-10T04:05:00.000Z,245.25,1
Set,2020-08-10T18:50:00.000Z,1130.25,1
Rise,2020-08-11T04:25:00.000Z,265.25,1
Set,2020-08-11T18:50:00.000Z,1130.25,1
Rise,2020-08-12T04:55:00.000Z,295.25,discard
Set,2020-08-12T18:10:00.000Z,1090.25,discard
Rise,2020-08-13T04:15:00.000Z,255.25,1
Set,2020-08-13T18:40:00.000Z,1120.25,1
Rise,2020-08-14T04:30:00.000Z,270.25,1
Set,2020-08-14T18:30:00.000Z,1110.25,1
Rise,2020-08-15T05:00:00.000Z,300.25,discard
Set,2020-08-15T18:45:00.000Z,1125.25,1
Rise,2020-08-16T04:25:00.000Z,265.25,1
Set,2020-08-16T18:20:00.000Z,1100.25,1
Rise,2020-08-17T04:15:00.000Z,255.25,1
Set,2020-08-17T17:25:00.000Z,1045.25,discard
Rise,2020-08-18T04:45:00.000Z,285.25,1
Set,2020-08-18T18:20:00.000Z,1100.25,1
Rise,2020-08-19T04:25:00.000Z,265.25,1
Set,2020-08-19T18:20:00.000Z,1100.25,1
Rise,2020-08-20T04:25:00.000Z,265.25,1
Set,2020-08-20T18:20:00.000Z,1100.25,1
Rise,2020-08-21T04:30:00.000Z,270.25,1
Set,2020-08-21T18:25:00.000Z,1105.25,1
Rise,2020-08-22T04:45:00.000Z,285.25,1
Set,2020-08-22T18:25:00.000Z,1105.25,1
Rise,2020-08-23T04:40:00.000Z,280.25,1
Set,2020-08-23T18:00:00.000Z,1080.25,discard
Rise,2020-08-24T04:40:00.000Z,280.25,1
Set,2020-08-24T18:15:00.000Z,1095.25,1
Rise,2020-08-25T04:35:00.000Z,275.25,1
Set,2020-08-25T18:15:00.000Z,1095.25,1
Rise,2020-08-26T04:40:00.000Z,280.25,1
Set,2020-08-26T17:55:00.000Z,1075.25,discard
Rise,2020-08-27T04:35:00.000Z,275.25,1
Set,2020-08-27T18:05:00.000Z,1085.25,1
Rise,2020-08-28T04:40:00.000Z,280.25,1
Set,2020-08-28T18:10:00.000Z,1090.25,1
Rise,2020-08-29T04:45:00.000Z,285.25,1
Set,2020-08-29T18:10:00.000Z,1090.25,1
Rise,2020-08-30T04:45:00.000Z,285.25,1
Set,2020-08-30T18:05:00.000Z,1085.25,1
Rise,2020-08-31T04:55:00.000Z,295.25,1
Set,2020-08-31T18:05:00.000Z,1085.25,1
