tag_id,stap_s,stap_t,lat_s,lon_s,lat_t,lon_t,s,t,j,start,end,n,distance,bearing,gs_u,gs_v,ws_u,ws_v
16IQ,1,2,46.5427,8.68364,46.125,10.125,19522,45652,1,2016-09-12T17:45:00Z,2016-09-12T21:15:00Z,1,120.29791026263082,112.18064693305219,28.14174046705234,-13.224996772872482,,
16IQ,2,3,46.125,10.125,45.625,7.375,45652,68654,1,2016-09-13T17:45:00Z,2016-09-13T22:15:00Z,1,220.60470815147963,-103.60036342508585,-43.41009025616927,-10.502297560337585,,
16IQ,3,4,45.625,7.375,45.375,6.625,68654,93127,1,2016-09-14T03:15:00Z,2016-09-14T04:15:00Z,1,64.86998149322342,-115.0933022396577,-41.05699153199889,-19.2266478881533,,
16IQ,4,5,45.375,6.625,44.375,5.375,93127,117235,1,2016-09-14T18:15:00Z,2016-09-14T21:15:00Z,1,148.67608590462726,-137.92657828343005,-28.849156669957868,-31.957783459472115,,
16IQ,5,6,44.375,5.375,44.875,4.625,117235,141705,1,2016-09-15T01:15:00Z,2016-09-15T02:45:00Z,1,81.42253258066424,-46.706544029690434,-29.854030037304085,28.12657767042945,,
16IQ,6,7,44.875,4.625,43.625,4.875,141705,166918,1,2016-09-15T18:45:00Z,2016-09-15T21:45:00Z,1,140.3240468857582,171.73204922401564,5.7927621284459665,-39.86403213109182,,
16IQ,7,8,43.625,4.875,43.375,5.625,166918,192495,1,2016-09-16T07:15:00Z,2016-09-16T08:15:00Z,1,66.7141061399551,114.34500870217865,42.36875044991437,-19.17030664950675,,
16IQ,8,9,43.375,5.625,36.875,6.125,192495,217913,1,2016-09-17T17:45:00Z,2016-09-18T07:45:00Z,1,722.9951168491245,176.45744751695463,3.109767422739406,-50.23198502117374,,
16IQ,9,10,36.875,6.125,36.875,4.625,217913,241833,1,2016-09-18T18:45:00Z,2016-09-18T21:15:00Z,1,133.73437668961867,-89.54993004950015,-44.52285829560828,0.34974326138655915,,
16IQ,10,11,36.875,4.625,36.625,2.875,241833,265570,1,2016-09-19T20:15:00Z,2016-09-19T23:15:00Z,1,158.7198919244055,-99.54215828929135,-44.80079356844996,-7.5309734526522645,,
16IQ,11,12,36.625,2.875,35.875,2.625,265570,290413,1,2016-09-22T01:15:00Z,2016-09-22T02:45:00Z,1,86.20258549719995,-164.81675549485388,-11.195347209686092,-41.25340035163933,,
16IQ,12,13,35.875,2.625,35.375,3.875,290413,316359,1,2016-09-23T19:15:00Z,2016-09-23T21:15:00Z,1,126.09341617524282,115.73594869264834,46.62039185515143,-22.47291599432907,,
16IQ,13,14,35.375,3.875,34.625,3.875,316359,341386,1,2016-09-24T02:45:00Z,2016-09-24T04:15:00Z,1,83.20543505696807,180,-7.445556102516956e-15,-40.53171960928295,,
16IQ,14,15,34.625,3.875,29.375,1.125,341386,364407,1,2016-10-02T18:15:00Z,2016-10-03T05:15:00Z,1,637.4373218073317,-155.20465684896078,-23.504661045511206,-50.87960731826077,,
16IQ,15,16,29.375,1.125,35.375,0.875,364407,389223,1,2016-10-03T17:15:00Z,2016-10-04T05:15:00Z,1,665.77797906836,-1.958966284493116,-1.8347492862296084,53.641773049197084,,
16IQ,16,17,35.375,0.875,30.375,-0.125,389223,413531,1,2016-10-04T17:45:00Z,2016-10-05T05:45:00Z,1,562.3431278590605,-170.14567119258777,-7.72559794728796,-44.4749668015355,,
16IQ,17,18,30.375,-0.125,25.625,0.875,413531,439310,1,2016-10-05T17:45:00Z,2016-10-06T04:15:00Z,1,535.4955785660263,169.1776717106561,9.188025810962898,-48.06354889289096,,
16IQ,18,19,25.625,0.875,21.375,-0.125,439310,463615,1,2016-10-06T18:45:00Z,2016-10-07T03:15:00Z,1,481.64054122405213,-167.5540715586194,-11.635345549725413,-52.71905124438159,,
16IQ,19,20,21.375,-0.125,20.625,-0.375,463615,488458,1,2016-10-07T20:45:00Z,2016-10-07T22:15:00Z,1,87.01076986187068,-162.57382616335056,-12.283145329699643,-39.132908667890504,,
16IQ,20,21,20.625,-0.375,19.375,-0.875,488458,513119,1,2016-10-08T23:15:00Z,2016-10-09T01:45:00Z,1,147.9416628092564,-159.20169919765334,-17.414179763133895,-45.84724759060133,,
16IT,1,2,46.54849,8.68682,45.875,8.125,19522,44181,1,2016-07-26T17:15:00Z,2016-07-26T19:15:00Z,1,86.50902582316567,-149.72088460843005,-15.388447247771925,-32.99888293196195,,
16IT,2,3,45.875,8.125,45.375,10.125,44181,70679,1,2016-09-19T20:15:00Z,2016-09-20T00:15:00Z,1,165.56854814352658,108.89424326128336,34.52636472628894,-11.817141288378226,,
16IT,3,4,45.375,10.125,44.125,10.625,70679,96076,1,2016-09-21T18:45:00Z,2016-09-21T22:45:00Z,1,144.44056049336598,163.9139407781066,8.666020560324212,-30.051573834796624,,
16IT,4,5,44.125,10.625,44.625,8.875,96076,119810,1,2016-09-24T18:15:00Z,2016-09-24T21:15:00Z,1,150.12861677821192,-67.6696217106502,-40.076429868537645,16.46136987134151,,
16IT,5,6,44.625,8.875,44.625,6.125,119810,142810,1,2016-09-27T19:15:00Z,2016-09-27T21:45:00Z,1,218.22814862721796,-89.03401820738299,-79.21284032315728,1.3356204057790122,,
16JB,1,2,46.54841,8.72989,46.625,9.375,19522,45098,1,2016-09-07T04:15:00Z,2016-09-07T05:15:00Z,1,50.169097403846706,79.99514219998642,38.22473028978749,0.18185223770407694,,
16JB,2,3,46.625,9.375,46.375,6.625,45098,68099,1,2016-09-19T17:15:00Z,2016-09-20T02:15:00Z,1,212.90723268314048,-96.50076715291755,-21.35411126172843,-2.433283285923317,,
16JB,3,4,46.375,6.625,44.875,5.875,68099,92577,1,2016-09-24T17:15:00Z,2016-09-24T20:45:00Z,1,176.67573076106325,-160.3988653630185,-15.114390697660482,-42.443480570684,,
16JB,4,5,44.875,5.875,44.625,4.875,92577,116866,1,2016-09-25T12:45:00Z,2016-09-25T14:15:00Z,1,83.92018137238216,-108.97982993309384,-40.40402490580661,-13.896313426425877,,
16JL,1,2,46.54263,8.68315,46.125,10.125,19522,45652,1,2016-09-17T17:45:00Z,2016-09-17T20:15:00Z,1,120.32977749503533,112.17010532788373,39.398436653873276,-18.514995482021472,,
16JL,2,3,46.125,10.125,41.875,9.125,45652,69957,1,2016-09-18T17:45:00Z,2016-09-19T03:45:00Z,1,478.9782734650675,-170.01058248453438,-7.98875327420787,-45.35545570969196,,
16JL,3,4,41.875,9.125,36.625,8.875,69957,94818,1,2016-09-19T17:45:00Z,2016-09-20T02:45:00Z,1,583.2557196409084,-177.79970713064932,-2.406388764212823,-62.631724270518376,,
16JL,4,5,36.625,8.875,35.875,9.625,94818,120397,1,2016-09-20T19:15:00Z,2016-09-20T21:15:00Z,1,107.09697748652981,140.77090088698984,26.852596706869253,-32.89041728366228,,
16JL,5,6,35.875,9.625,33.375,7.625,120397,143959,1,2016-10-02T17:15:00Z,2016-10-03T00:45:00Z,1,332.4723349702388,-145.94964503946983,-23.189513429535786,-34.31477624548454,,
16JL,6,7,33.375,7.625,32.875,4.625,143959,166777,1,2016-10-03T17:15:00Z,2016-10-03T23:15:00Z,1,285.39136543747327,-100.38137330987877,-42.9381518812074,-7.866197147096827,,
16JL,7,8,32.875,4.625,36.875,6.375,166777,193073,1,2016-10-04T17:45:00Z,2016-10-05T04:45:00Z,1,471.6886630314615,19.331334726682737,13.53284307922612,38.57608897776975,,
16JL,8,9,36.875,6.375,36.625,10.875,193073,221410,1,2016-10-05T19:45:00Z,2016-10-06T05:15:00Z,1,402.7788389217806,92.60055386853956,39.96318772920938,-1.8151048499267566,,
