tag_id,stap_id,type,lat,lon,ind,j,interp,known
16IQ,1,most_likely,46.5427,8.68364,19522,1,,TRUE
16IQ,2,most_likely,46.125,10.125,20628,1,,FALSE
16IQ,3,most_likely,45.625,7.375,18606,1,,FALSE
16IQ,4,most_likely,45.375,6.625,18055,1,,FALSE
16IQ,5,most_likely,44.375,5.375,17139,1,,FALSE
16IQ,6,most_likely,44.875,4.625,16585,1,,FALSE
16IQ,7,most_likely,43.625,4.875,16774,1,,FALSE
16IQ,8,most_likely,43.375,5.625,17327,1,,FALSE
16IQ,9,most_likely,36.875,6.125,17721,1,,FALSE
16IQ,10,most_likely,36.875,4.625,16617,1,,FALSE
16IQ,11,most_likely,36.625,2.875,15330,1,,FALSE
16IQ,12,most_likely,35.875,2.625,15149,1,,FALSE
16IQ,13,most_likely,35.375,3.875,16071,1,,FALSE
16IQ,14,most_likely,34.625,3.875,16074,1,,FALSE
16IQ,15,most_likely,29.375,1.125,14071,1,,FALSE
16IQ,16,most_likely,35.375,0.875,13863,1,,FALSE
16IQ,17,most_likely,30.375,-0.125,13147,1,,FALSE
16IQ,18,most_likely,25.625,0.875,13902,1,,FALSE
16IQ,19,most_likely,21.375,-0.125,13183,1,,FALSE
16IQ,20,most_likely,20.625,-0.375,13002,1,,FALSE
16IQ,21,most_likely,19.375,-0.875,12639,1,,FALSE
16IT,1,most_likely,46.54849,8.68682,19522,1,,TRUE
16IT,2,most_likely,45.875,8.125,19157,1,,FALSE
16IT,3,most_likely,45.375,10.125,20631,1,,FALSE
16IT,4,most_likely,44.125,10.625,21004,1,,FALSE
16IT,5,most_likely,44.625,8.875,19714,1,,FALSE
16IT,6,most_likely,44.625,6.125,17690,1,,FALSE
16JB,1,most_likely,46.54841,8.72989,19522,1,,TRUE
16JB,2,most_likely,46.625,9.375,20074,1,,FALSE
16JB,3,most_likely,46.375,6.625,18051,1,,FALSE
16JB,4,most_likely,44.875,5.875,17505,1,,FALSE
16JB,5,most_likely,44.625,4.875,16770,1,,FALSE
16JL,1,most_likely,46.54263,8.68315,19522,1,,TRUE
16JL,2,most_likely,46.125,10.125,20628,1,,FALSE
16JL,3,most_likely,41.875,9.125,19909,1,,FALSE
16JL,4,most_likely,36.625,8.875,19746,1,,FALSE
16JL,5,most_likely,35.875,9.625,20301,1,,FALSE
16JL,6,most_likely,33.375,7.625,18839,1,,FALSE
16JL,7,most_likely,32.875,4.625,16633,1,,FALSE
16JL,8,most_likely,36.875,6.375,17905,1,,FALSE
16JL,9,most_likely,36.625,10.875,21218,1,,FALSE
16JL,10,most_likely,36.125,10.125,20668,1,,FALSE
16JL,11,most_likely,32.875,5.375,17185,1,,FALSE
16JL,12,most_likely,30.875,4.125,16273,1,,FALSE
16JL,13,most_likely,27.875,3.875,16101,1,,FALSE
16JL,14,most_likely,22.625,6.375,17962,1,,FALSE
16JL,15,most_likely,21.625,4.375,16494,1,,FALSE
16JL,16,most_likely,17.875,7.125,18533,1,,FALSE
16JL,17,most_likely,15.875,4.875,16885,1,,FALSE
20TJ,1,most_likely,46.550143,8.703374,19522,1,,TRUE
20TJ,2,most_likely,44.125,7.875,18980,1,,FALSE
20TJ,3,most_likely,43.375,5.125,16959,1,,FALSE
