tag_id,stap_id,start,end,known_lat,known_lon,include
16IQ,1,2016-06-30T23:45:00Z,2016-09-12T17:45:00Z,46.5427,8.68364,TRUE
16IQ,2,2016-09-12T21:15:00Z,2016-09-13T17:45:00Z,,,TRUE
16IQ,3,2016-09-13T22:15:00Z,2016-09-14T03:15:00Z,,,TRUE
16IQ,4,2016-09-14T04:15:00Z,2016-09-14T18:15:00Z,,,TRUE
16IQ,5,2016-09-14T21:15:00Z,2016-09-15T01:15:00Z,,,TRUE
16IQ,6,2016-09-15T02:45:00Z,2016-09-15T18:45:00Z,,,TRUE
16IQ,7,2016-09-15T21:45:00Z,2016-09-16T07:15:00Z,,,TRUE
16IQ,8,2016-09-16T08:15:00Z,2016-09-17T17:45:00Z,,,TRUE
16IQ,9,2016-09-18T07:45:00Z,2016-09-18T18:45:00Z,,,TRUE
16IQ,10,2016-09-18T21:15:00Z,2016-09-19T20:15:00Z,,,TRUE
16IQ,11,2016-09-19T23:15:00Z,2016-09-22T01:15:00Z,,,TRUE
16IQ,12,2016-09-22T02:45:00Z,2016-09-23T19:15:00Z,,,TRUE
16IQ,13,2016-09-23T21:15:00Z,2016-09-24T02:45:00Z,,,TRUE
16IQ,14,2016-09-24T04:15:00Z,2016-10-02T18:15:00Z,,,TRUE
16IQ,15,2016-10-03T05:15:00Z,2016-10-03T17:15:00Z,,,TRUE
16IQ,16,2016-10-04T05:15:00Z,2016-10-04T17:45:00Z,,,TRUE
16IQ,17,2016-10-05T05:45:00Z,2016-10-05T17:45:00Z,,,TRUE
16IQ,18,2016-10-06T04:15:00Z,2016-10-06T18:45:00Z,,,TRUE
16IQ,19,2016-10-07T03:15:00Z,2016-10-07T20:45:00Z,,,TRUE
16IQ,20,2016-10-07T22:15:00Z,2016-10-08T23:15:00Z,,,TRUE
16IQ,21,2016-10-09T01:45:00Z,2017-01-27T22:45:00Z,,,TRUE
16IT,1,2016-06-30T23:45:00Z,2016-07-26T17:15:00Z,46.54849,8.68682,TRUE
16IT,2,2016-07-26T19:15:00Z,2016-09-19T20:15:00Z,,,TRUE
16IT,3,2016-09-20T00:15:00Z,2016-09-21T18:45:00Z,,,TRUE
16IT,4,2016-09-21T22:45:00Z,2016-09-24T18:15:00Z,,,TRUE
16IT,5,2016-09-24T21:15:00Z,2016-09-27T19:15:00Z,,,TRUE
16IT,6,2016-09-27T21:45:00Z,2016-10-01T00:15:00Z,,,TRUE
16JB,1,2016-06-30T23:45:00Z,2016-09-07T04:15:00Z,46.54841,8.72989,TRUE
16JB,2,2016-09-07T05:15:00Z,2016-09-19T17:15:00Z,,,TRUE
16JB,3,2016-09-20T02:15:00Z,2016-09-24T17:15:00Z,,,TRUE
16JB,4,2016-09-24T20:45:00Z,2016-09-25T12:45:00Z,,,TRUE
16JB,5,2016-09-25T14:15:00Z,2016-09-25T17:15:00Z,,,TRUE
16JL,1,2016-06-30T23:45:00Z,2016-09-17T17:45:00Z,46.54263,8.68315,TRUE
16JL,2,2016-09-17T20:15:00Z,2016-09-18T17:45:00Z,,,TRUE
16JL,3,2016-09-19T03:45:00Z,2016-09-19T17:45:00Z,,,TRUE
16JL,4,2016-09-20T02:45:00Z,2016-09-20T19:15:00Z,,,TRUE
16JL,5,2016-09-20T21:15:00Z,2016-10-02T17:15:00Z,,,TRUE
16JL,6,2016-10-03T00:45:00Z,2016-10-03T17:15:00Z,,,TRUE
16JL,7,2016-10-03T23:15:00Z,2016-10-04T17:45:00Z,,,TRUE
16JL,8,2016-10-05T04:45:00Z,2016-10-05T19:45:00Z,,,TRUE
16JL,9,2016-10-06T05:15:00Z,2016-10-06T19:15:00Z,,,TRUE
16JL,10,2016-10-06T20:45:00Z,2016-10-15T17:15:00Z,,,TRUE
16JL,11,2016-10-16T05:45:00Z,2016-10-16T16:45:00Z,,,TRUE
16JL,12,2016-10-16T22:15:00Z,2016-10-16T23:15:00Z,,,TRUE
16JL,13,2016-10-17T06:15:00Z,2016-10-17T16:45:00Z,,,TRUE
16JL,14,2016-10-18T05:15:00Z,2016-10-18T18:15:00Z,,,TRUE
16JL,15,2016-10-18T22:45:00Z,2016-10-28T17:45:00Z,,,TRUE
16JL,16,2016-10-29T05:45:00Z,2016-10-29T18:15:00Z,,,TRUE
16JL,17,2016-10-30T02:15:00Z,2016-11-11T22:45:00Z,,,TRUE
20TJ,1,2018-07-31T23:45:00Z,2018-09-10T17:45:00Z,46.550143,8.703374,TRUE
20TJ,2,2018-09-11T00:45:00Z,2018-09-12T18:45:00Z,,,TRUE
20TJ,3,2018-09-13T00:15:00Z,2018-09-13T18:15:00Z,,,TRUE
20TJ,4,2018-09-14T04:15:00Z,2018-09-14T18:15:00Z,,,TRUE
20TJ,5,2018-09-14T23:15:00Z,2018-10-06T17:45:00Z,,,TRUE
20TJ,6,2018-10-07T04:45:00Z,2018-10-07T17:15:00Z,,,TRUE
20TJ,7,2018-10-08T05:15:00Z,2018-10-08T17:15:00Z,,,TRUE
20TJ,8,2018-10-09T04:45:00Z,2018-10-09T17:45:00Z,,,TRUE
20TJ,9,2018-10-10T05:15:00Z,2018-10-10T19:15:00Z,,,TRUE
20TJ,10,2018-10-10T23:15:00Z,2018-10-11T02:15:00Z,,,TRUE
20TJ,11,2018-10-11T03:45:00Z,2018-10-11T20:45:00Z,,,TRUE
20TJ,12,2018-10-12T02:15:00Z,2018-11-06T05:45:00Z,,,TRUE
20TZ,1,2018-07-31T23:45:00Z,2018-09-14T17:45:00Z,46.553141,8.690984,TRUE
20TZ,2,2018-09-15T03:15:00Z,2018-09-17T05:45:00Z,,,TRUE
24DK,1,2019-07-19T23:45:00Z,2019-09-05T17:45:00Z,44.95344,6.96995,TRUE
24DK,2,2019-09-05T21:45:00Z,2019-09-06T02:45:00Z,,,TRUE
24DK,3,2019-09-06T03:45:00Z,2019-09-06T18:15:00Z,,,TRUE
24DK,4,2019-09-07T01:45:00Z,2019-09-07T18:15:00Z,,,TRUE
24DK,5,2019-09-08T00:45:00Z,2019-09-09T19:45:00Z,,,TRUE
24DK,6,2019-09-10T00:15:00Z,2019-09-16T05:15:00Z,,,TRUE
24EA,1,2019-07-19T23:45:00Z,2019-09-15T17:45:00Z,44.95177,6.96333,TRUE
24EA,2,2019-09-16T00:45:00Z,2019-09-16T17:45:00Z,,,TRUE
24EA,3,2019-09-16T23:45:00Z,2019-09-17T03:45:00Z,,,TRUE
24EA,4,2019-09-17T08:45:00Z,2019-09-17T21:15:00Z,,,TRUE
24EA,5,2019-09-17T23:45:00Z,2019-09-19T20:15:00Z,,,TRUE
24EA,6,2019-09-19T22:45:00Z,2019-10-16T17:15:00Z,,,TRUE
24EA,7,2019-10-17T00:45:00Z,2019-10-18T17:15:00Z,,,TRUE
24EA,8,2019-10-19T05:45:00Z,2019-10-19T17:15:00Z,,,TRUE
24EA,9,2019-10-20T06:15:00Z,2019-10-20T17:45:00Z,,,TRUE
24EA,10,2019-10-21T06:15:00Z,2019-10-21T17:45:00Z,,,TRUE
24EA,11,2019-10-22T01:15:00Z,2019-10-22T18:15:00Z,,,TRUE
24EA,12,2019-10-22T23:45:00Z,2019-10-26T18:45:00Z,,,TRUE
24EA,13,2019-10-26T22:45:00Z,2019-10-28T18:15:00Z,,,TRUE
24EP,1,2019-07-19T23:45:00Z,2019-09-11T18:15:00Z,44.95177,6.96333,TRUE
24EP,2,2019-09-12T02:15:00Z,2019-09-12T23:45:00Z,,,TRUE
