"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","alt_min","alt_max","alt_mean","alt_med"
"1",1,2,6.5,40.851632840333,19.3289073890647,40.0277196250246,20.0064679745454,5.10968610606497,0.801836315616965,260.18017756266,130.042041834545,37.049643000501,3339.6057160699,2248.87376641074,2610.04302243546
"2",2,3,5.5,80.5228197146104,16.2808763614095,79.9193137044185,15.9517329832078,8.00119016825225,2.16790859748497,439.556225374302,87.7345314076429,-3.50629584013041,2374.56721355912,1284.81457761314,1763.12185304113
"3",3,4,4.5,75.9188180392643,14.6582629854571,71.7981725519217,15.832203456562,10.9302150472217,2.13791350487906,323.091776483647,71.2449155545291,-30.1583098636215,2134.73827462682,921.230309885857,904.19342872212
"4",4,5,2,53.7691593758032,15.8006994259328,44.7489732336752,14.819238912721,17.5039727547402,2.05702750111611,89.4979464673503,29.638477825442,-34.741219202282,1739.84383554623,513.689632963176,307.890330857228
"5",5,6,2,37.5035932160386,18.2804421519753,35.5757446225416,16.3462517109106,5.91157213245322,4.19574961021449,71.1514892450832,32.6925034218211,599.590544032246,1688.88998571096,1010.76730172879,971.015216044554
"6",6,7,7,31.2049916886049,14.7619248708282,25.1312010694756,13.5939048625017,9.98788796990788,2.24113429983208,175.918407486329,95.1573340375119,610.661026228919,2253.92746039114,1386.34092072823,1134.89064923832
"7",7,8,12,46.8153688962164,16.1155336703047,57.7888611580821,16.5438808193664,12.7856923898729,3.94195263787303,693.466333896985,198.526569832397,444.009498034641,3662.19459453128,2508.21013438316,2552.55531489258
"8",8,9,12.5,46.4886508733636,14.5433629483098,61.6657402458683,15.4112874090133,20.7789894303628,3.75144502522483,770.821753073354,192.641092612667,349.232910986801,1769.3531946285,848.201586792135,602.417123976259
"9",9,10,12,46.2661435869415,18.2797305422705,32.1156998408097,18.1186992864647,17.0913844723211,3.82163361315991,385.388398089717,217.424391437576,352.037668728014,2892.66115026778,1588.18010798241,1771.938884397
"10",10,11,7,32.508947460073,16.1185969499028,30.3246692683088,15.7431505594228,11.541403550548,4.86185718289084,212.272684878161,110.20205391596,330.636939176741,2621.92977859189,1180.75728111395,881.944527543116
"11",11,12,5,30.0329171410499,15.9188828313932,32.0509245683105,15.3984968111759,19.5809551978884,8.01420482305948,160.254622841552,76.9924840558794,258.346278790642,3379.07461501753,1415.11583659807,1305.74813136293
"12",12,13,3.5,32.2230980499728,13.9310149307165,43.2963365371733,21.859040777959,31.1598510878505,10.380973860082,151.537177880107,76.5066427228567,252.010060105938,775.600644065015,542.781727577385,562.564665449231
