"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","alt_min","alt_max","alt_mean","alt_med"
"1",1,2,5,30.6845339559575,13.0579346458253,34.2739539892343,16.489093121218,9.77364935449259,3.96848466217275,171.369769946172,82.4454656060898,2145.36853168353,3675.87706929553,2878.54421185809,2930.54099371788
"2",2,3,9.5,50.9323536426541,14.6972381025815,45.9472664679759,13.7164500777202,21.2913602768301,3.27808026412542,436.499031445771,130.306275738341,182.420522552432,4156.93580809466,2158.00487442696,1979.0038231915
"3",3,4,0.5,33.4779504579996,17.7533962416004,26.8843643988204,24.5569529916488,17.0364183385449,8.94092707263103,13.4421821994102,12.2784764958244,161.535028409633,701.188641333235,431.361834871434,431.361834871434
"4",4,5,2.5,37.6104416249205,11.9828040633703,31.0880425205855,27.2550769276196,40.1046941952043,9.53191558407012,77.7201063014639,68.1376923190491,173.990634911187,1655.75126282723,856.701827683927,828.148541498192
"5",5,6,3.5,37.3222289721246,12.0800941777625,32.748637845132,16.944840878537,25.6572945710208,6.27795273328873,114.620232457962,59.3069430748794,52.0601328683229,883.706253964748,432.918475875947,357.465413102731
"6",6,7,2,32.7993604081233,15.873912266853,29.617779018283,17.6509076279829,27.3981144902239,7.20928168080344,59.235558036566,35.3018152559659,248.621506797724,657.924854227661,477.861020191431,547.523346463688
"7",7,8,3.5,27.7345032450934,15.8206466847235,28.364229229704,15.4248892833942,8.67057072807706,2.78523972522836,99.2748023039639,53.9871124918796,513.350687673021,1221.34263309854,850.007222212435,767.426332446001
"8",8,9,1,33.1692757960462,13.3352004937791,31.7160290711169,14.6485921633275,6.24243659367678,2.27557732850116,31.7160290711169,14.6485921633275,65.1873347786776,541.289606321247,326.774970688828,373.847970966558
"9",9,10,7,58.80838231167,10.4757907267819,56.621670542504,10.6702193160568,21.6741211031817,1.5206606395445,396.351693797528,74.6915352123979,437.869712374364,2016.49873876623,1270.08549186272,1331.09046709679
"10",10,11,1.5,34.4375202338576,15.7530382158769,33.2383217281,15.0908903096193,10.6812431925869,2.51982301833518,49.85748259215,22.6363354644289,832.828054701194,1545.47553162975,1191.06103521421,1192.97027726295
"11",11,12,2,30.139846460898,12.8389138207509,34.9725417867567,19.9860210956457,30.6967235824823,5.23081070140162,69.9450835735133,39.9720421912914,655.078443231557,1519.1440552978,960.192141505937,860.965076959658
"12",12,13,12.5,41.270696581547,5.67205561649615,47.9229490146456,7.4539329871951,12.2398153815649,1.49597939366474,599.03686268307,93.1741623399388,202.510102812731,2142.50828981531,1292.6665085211,1287.68468353866
"13",13,14,12,44.3593211475392,15.4041161153149,55.1930618840318,13.7540624001246,20.6421137644761,4.0997115838188,662.316742608381,165.048748801495,384.644426188589,1818.82993028101,1040.69613486465,830.367727125094
"14",14,15,12,41.401533730619,12.7760063888748,41.9691054858867,14.1086507268722,8.74941059723752,5.63427622124485,503.62926583064,169.303808722466,645.366907771798,3416.92155201979,2190.27998808638,2496.05924167013
"15",15,16,10.5,49.9363181044196,14.2350958096269,54.490866211712,15.3231776984431,27.0807498924967,4.51685180728055,572.154095222976,160.893365833652,417.998831068077,3573.47942294033,2435.00219429024,2902.83390139996
"16",16,17,8,29.8459323145355,12.6071956739918,32.8005372388758,13.2405696114543,14.8976250898336,2.30413389154234,262.404297911007,105.924556891635,315.721027653507,3595.64346615415,1368.74333496842,564.590029869645
"17",17,18,10.5,55.8333890009458,17.3741590107498,56.8041827350443,18.7967849707623,6.15471677692023,1.60384576959722,596.443918717965,197.366242193004,293.514325280928,2634.50022900689,1421.59396352977,1277.27294942814
"18",18,19,11,39.2560806589312,16.2273421683109,47.510579555044,19.1829776463235,19.6418703661304,4.84760250353752,522.616375105484,211.012754109559,492.918285951701,3724.60368332425,2020.99526092451,1857.06258906519
"19",19,20,13.5,46.3374489821003,15.0015484714798,69.6360907654422,16.9372046142555,28.6132242909969,3.9403537131028,940.087225333469,228.65226229245,137.206248511003,3513.28543482052,2308.15763472876,2692.39100943964
"20",20,21,10.5,34.9835650768823,9.09326910319257,38.0187355481282,8.52795055068891,13.5906227584516,3.69165774941338,399.196723255346,89.5434807822336,148.761570742533,1622.81132362555,913.713381168938,868.08263576483
"21",21,22,10,51.5039050831866,17.6642298268146,75.5662850517303,17.0814156840266,30.2216585829377,5.65738879653463,755.662850517303,170.814156840266,-61.9755823499879,3240.27019761568,2059.4978027964,2125.2004939076
"22",22,23,9.5,53.2668814509604,17.3982870682604,49.0349669781224,17.3938844597697,11.7662334576369,2.91867660247601,465.832186292163,165.241902367812,21.8622721423472,2411.69093092211,1074.53350020135,948.424534525336
"23",23,24,4,37.5667422301317,17.9811219532186,36.513953243228,17.1384021738084,7.690773352796,4.01100981580316,146.055812972912,68.5536086952336,113.874870617338,3281.79468169671,1170.73753141015,697.975352947994
"24",24,25,1.5,35.1847999975732,16.61240412801,34.5523730100318,17.1460718405359,3.9186103195418,2.19084228433225,51.8285595150477,25.7191077608039,-14.2164903532649,907.711343824709,624.315169905114,801.882913074505
"25",25,26,4,38.8166370315636,15.7296479560784,37.900351539756,16.1623001072856,3.27831862547174,1.448066735161,151.601406159024,64.6492004291425,495.299113035422,2367.34588210684,1434.57255499037,1456.5493020942
"26",26,27,4.5,24.7420403665796,11.3068936567738,23.3484339563109,11.824344916457,6.48676910819896,1.96734188652485,105.067952803399,53.2095521240564,1829.07190141194,3395.38860367454,2583.01253890881,2570.73647625612
"27",27,28,1,35.9697523989775,18.0732351137643,36.4478734251364,18.7915904418864,2.11252213748782,2.14928328110735,36.4478734251364,18.7915904418864,1878.54269373169,1962.81997984921,1934.72755114337,1962.81997984921
"28",28,29,1.5,34.8589700019438,16.0427487779749,33.4557413686358,16.4024577134537,6.31542975398989,3.20354445286976,50.1836120529537,24.6036865701806,1896.7737829046,2529.50725948821,2172.34908026132,2131.55763932623
"29",29,30,1,37.8240879175833,15.8661143268201,37.1873358079933,17.1599370133219,10.1816269603659,3.31851742193648,37.1873358079933,17.1599370133219,1256.28305608219,1935.94445718802,1489.069190962,1274.98005961578
"30",30,31,1,32.7517477089475,13.8497113031617,34.3588730132277,16.4551696212829,8.53868042168745,4.88965471987452,34.3588730132277,16.4551696212829,1149.83978195782,1347.57887549073,1249.78754633919,1251.94398156901
