"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","alt_min","alt_max","alt_mean","alt_med"
"1",1,2,8,37.4591576682368,9.61414394319961,47.9231773486361,11.8544149221044,12.3727520831414,4.73344634166988,383.385418789089,94.8353193768351,1326.74646659445,3692.91113281278,2564.96209799605,2572.32275487206
"2",2,3,3,39.0964456472089,16.7237936290336,36.6025603319109,16.5654877012687,10.0564408402738,3.23071669528321,109.807680995733,49.696463103806,385.990928208153,4120.37014186927,2709.45516440951,3248.99086283598
"3",3,4,0.5,29.2805529095033,16.8311692119423,28.6696669021113,22.892091543061,12.1815622545509,4.88570340271782,14.3348334510557,11.4460457715305,265.884562175416,857.015596569485,561.45007937245,561.45007937245
"4",4,5,1,30.6859965755762,16.1227062345744,34.8454779692257,21.0088792614594,21.3103968461853,9.07794898310225,34.8454779692257,21.0088792614594,47.8697721909943,360.140363341755,200.937384187556,194.80201702992
"5",5,6,9,48.6656103971618,18.1681439841677,42.9069280673288,18.7186222527917,8.54823021019982,3.49731203816011,386.162352605959,168.467600275125,48.7309905640151,2092.52184068597,1004.09670173931,832.275145430793
"6",6,7,8,43.9130445955475,17.7125930110911,36.6782758324901,17.9195300654134,15.0889289434853,5.40876492816313,293.426206659921,143.356240523307,478.83170891632,2430.86508403868,1128.63483451397,1026.73891652877
"7",7,8,0.5,31.0057648746364,17.5046785474036,29.2005911542738,27.7407443220774,28.6780847587458,8.04252686769031,14.6002955771369,13.8703721610387,443.833071837416,2417.10139094307,1430.46723139024,1430.46723139024
"8",8,9,9,43.1445138019153,13.9681717341645,65.0050857641308,21.6101377806855,32.7206063516182,12.1255561010549,585.045771877177,194.49124002617,4.16274138999245,2646.09326835048,1024.51076473512,1066.95581939218
"9",9,10,0.5,35.1914397825027,14.8702741591309,45.2301974927316,28.5465237329607,36.0418744046293,5.1893508806627,22.6150987463658,14.2732618664804,1217.41514295674,1908.99522096895,1563.20518196285,1563.20518196285
"10",10,11,10,48.1606469259215,12.7798040252548,75.5688542599422,11.3474249372073,28.4682969305212,2.55885810071853,755.688542599422,113.474249372073,557.576490563003,1784.49231528962,1057.22308044098,935.030686872796
"11",11,12,12.5,38.2706327729538,15.1294897846896,60.978793173006,16.7817011291157,24.0321631826624,3.84421011953383,762.234914662575,209.771264113947,324.847614332533,3234.64103620166,1821.70964966137,2351.55336773582
"12",12,13,11,44.6999097415924,18.3284866475688,57.9547596843846,17.7651789110882,20.4773589194869,9.29950946272748,637.502356528231,195.416968021971,540.328828774203,3611.0372690566,2257.17089484419,2564.89125363769
"13",13,14,10,53.2816577186139,21.9346636471233,48.4503585923892,21.4365769272079,7.53717440870482,2.30221200915182,484.503585923892,214.365769272079,282.919059990194,2449.1110831505,1287.28202109458,1327.41745481412
"14",14,15,2.5,34.2683254314445,14.3602545270599,35.2929003924581,14.9774711416627,4.46294399190641,1.26142796147046,88.2322509811453,37.4436778541568,306.722076553751,432.426271770348,377.161999781265,389.880587622438
"15",15,16,1.5,33.8544290743805,14.9255384691807,34.849132006399,16.8189786317469,7.3827497327913,1.04389728510121,52.2736980095984,25.2284679476204,263.765490095917,425.74582612234,316.907345300947,289.059032492765
"16",16,17,10.5,34.1796189066416,14.2032946901467,37.1330840903741,17.1689881469021,33.3182598156078,1.80257444655459,389.897382948928,180.274375542472,208.015613463807,3274.79849107878,1584.32143880272,1563.20386850487
"17",17,18,13,43.6100096151465,16.2873485768431,47.7648070471909,16.7264183081656,22.4302979803038,5.14026415651347,620.942491613482,217.443438006153,222.119740330276,4566.79932822941,1755.20969340806,1639.56683098115
"18",18,19,21,45.906224578721,18.6587569911346,85.3138643329951,12.8918562525961,47.6134662927209,10.5709642156949,1791.5911509929,270.728981304517,158.821632111787,3769.91949604555,2346.40991823843,2499.01949400522
"19",19,20,3,37.9090041300032,15.2436287058202,35.6455426691665,15.018246814369,9.18191859466069,3.09478965092653,106.936628007499,45.054740443107,138.829670002761,2538.6465391362,1848.11235212424,2339.52022255421
"20",20,21,5,36.9146484986298,11.3053739189709,39.5980370076559,13.1482386961112,11.8364769519542,3.50185524782443,197.990185038279,65.7411934805562,256.791215558983,1372.42985733663,756.196852912115,653.232216292982
"21",21,22,1,31.927196680664,17.1839035027183,34.4737674188421,21.6345069531248,19.2530919198057,4.80603180138315,34.4737674188421,21.6345069531248,1133.60835438052,1271.57051776491,1209.77787703998,1224.15475897452
"22",22,23,1.5,28.6942515494886,15.0275598427121,34.9397674339953,17.6368217855417,31.6218172392592,3.00848290360692,52.409651150993,26.4552326783126,1235.17483838246,2586.31489360711,1848.62670748046,1786.50854896613
"23",23,24,9.5,86.8964286360986,5.97441549555708,95.6214715737153,5.21863437462933,9.19694017498183,2.85416682463595,908.403979950295,49.5770265589786,163.578987558708,3319.08147839984,1397.71461346493,1173.43554251526
"24",24,25,3,29.7943760251556,18.994011462496,30.2316537165707,19.7906996347728,4.40784222895998,1.90748015632051,90.6949611497121,59.3720989043185,-49.3587142878382,568.977995590239,287.183623982213,284.748800148355
"25",25,26,6,39.8859572778296,12.828332537486,40.4308145562895,12.2724303058934,2.71730352026894,1.89429273866018,242.584887337737,73.6345818353604,286.626717160024,1203.97953576561,645.326295241507,644.87591740098
"26",26,27,5,37.7573876873667,9.13616150052941,28.945718665838,9.00953904213501,10.9988357649702,2.78907214003019,144.72859332919,45.0476952106751,154.292650890297,2419.75588235656,1580.89313799475,1740.04166817984
