"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","ws_m_support","ws_m_drift","start_flight","end_flight","sunrise","sunset","as_sp","gs_sp","ws_sp","dist_sp","ws_sp_support","ws_sp_drift","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff","gdl_id"
"1",1,2,6.5,32.4351287017162,7.68999371334484,39.912346265218,10.0295621496133,9.26917721908857,2.53375931394539,259.430250723917,65.1921539724863,7.85315216313072,4.92398694368555,2018-09-10 18:00:00,2018-09-11 00:30:00,2018-09-11 04:35:31,2018-09-10 18:18:06,34.4325420258772,45.3206926115619,10.9503184235971,294.584501975152,10.903128847527,1.0155072192721,1862.10614482168,4764.15789603648,3891.77980148885,4298.23855673247,6268.28560284776,3018.59316323842,"20TJ"
"2",2,3,5,39.3338880042822,12.0532099862402,35.8143751206197,12.4185872029934,6.60614188662035,2.56157264275306,179.071875603099,62.0929360149669,-3.08317775869338,5.84252732423721,2018-09-12 19:00:00,2018-09-13 00:00:00,2018-09-13 04:43:27,2018-09-12 18:16:02,28.3555062379891,22.9606008269359,6.00072809840843,114.803004134679,-5.24456672068421,2.91603457169494,144.918433643781,3853.96118133826,1937.27284944598,1687.62634305415,4593.96864728455,662.300243501929,"20TJ"
"3",3,4,9.5,59.9957331343302,13.214047557649,83.2621143723149,14.0250100717071,24.7298762000909,1.59093949311662,790.990086536992,133.237595681217,23.6881954177597,7.10184305105737,2018-09-13 18:30:00,2018-09-14 04:00:00,2018-09-14 04:38:28,2018-09-13 18:18:36,55.5479500451055,80.5548308306022,25.5914966610205,765.270892890721,25.1904862528907,4.512660378751,21.7506618489566,4054.84603686143,2435.04929373048,3040.36768652522,9771.60184130817,4946.47690546029,"20TJ"
"4",4,5,4.5,37.6006799680139,17.1736918896343,41.3770437293674,19.7511820095473,9.78352297238748,5.61774379682358,186.196696782153,88.8803190429628,4.76068249405399,8.54711787341449,2018-09-14 18:30:00,2018-09-14 23:00:00,2018-09-15 04:40:13,2018-09-14 17:59:05,26.3747597380435,30.8245303402938,8.02352905858895,138.710386531322,5.17284017783281,6.13341202338632,150.674436946543,798.136832417868,462.385148224639,455.542434780484,755.61980827319,701.541101872258,"20TJ"
"5",5,6,10.5,42.9023949361128,10.3063873930672,43.0058044458861,10.8005637924048,13.5914533423653,2.88757022357444,451.560946681804,113.405919820251,2.25099066551487,13.4037548836682,2018-10-06 18:00:00,2018-10-07 04:30:00,2018-10-07 05:00:41,2018-10-06 17:25:55,40.3893154994495,45.753481966098,10.392651962859,480.411560644029,6.23003426003212,8.31828635837595,171.348825606855,2520.27743401347,1439.12847185431,1405.25118480708,6230.09169528362,2759.439099643,"20TJ"
"6",6,7,11.5,49.866740753277,15.2244062543224,63.2137777467963,13.9502026526995,14.0372866061817,2.29882963471936,726.958444088157,160.427330506045,13.4965456879168,3.8585839057955,2018-10-07 17:30:00,2018-10-08 05:00:00,2018-10-08 05:09:02,2018-10-07 17:29:32,35.179412582974,49.570664589462,14.7787683898832,570.062642778813,14.5052696508063,2.83004372390379,120.443125454643,2839.84664617212,2067.87883789259,2237.94344331557,5747.27583503186,3190.76111432115,"20TJ"
"7",7,8,11,33.9627276012349,14.4203412944359,47.585978735648,13.8844272273924,16.9454705697186,3.92452606459352,523.445766092128,152.728699501316,14.6903301780331,8.44648874323357,2018-10-08 17:30:00,2018-10-09 04:30:00,2018-10-09 05:18:15,2018-10-08 17:38:40,29.5062176606257,46.3638219118918,16.8625860968325,510.00204103081,16.8594158877303,0.32696452045764,773.413617707415,2897.83226387657,1326.76173324443,1220.69172784496,6441.56372350393,3335.38656893436,"20TJ"
"8",8,9,11,40.4980761900542,14.6249789239312,50.4305627322867,15.057720460691,15.4906255928722,5.1132437256859,554.736190055154,165.634925067601,11.333474204189,10.559916842548,2018-10-09 18:00:00,2018-10-10 05:00:00,2018-10-10 05:25:05,2018-10-09 17:48:58,33.0802213996958,46.7768708882282,15.9548140357265,514.54557977051,14.4123652090526,6.84396230231471,461.592567180751,2527.0317765618,1163.47404054842,958.528795324248,9220.7890743031,4547.81608322029,"20TJ"
"9",9,10,3.5,38.8501194201857,15.4494018676328,45.8114217414295,15.3868766187293,11.119152825184,4.66125603350625,160.339976095003,53.8540681655526,7.78179453349545,7.94224359915119,2018-10-10 19:30:00,2018-10-10 23:00:00,2018-10-11 05:28:01,2018-10-10 17:57:40,25.1412053899602,32.803654461175,10.2484714618017,114.812790614112,8.36843811870372,5.91611449828272,286.715278352433,2068.54258907737,1103.6546636337,1018.36368101768,3418.79717093721,1636.96986021227,"20TJ"
"10",10,11,1,35.0079464491113,16.1756385746692,36.0453292764964,19.093593720547,14.6499453278995,3.89249971473021,36.0453292764964,19.093593720547,3.99955211902666,14.0934197751161,2018-10-11 02:30:00,2018-10-11 03:30:00,2018-10-11 05:27:07,2018-10-10 18:00:57,26.1805709955367,38.2965313760511,15.1733047266441,38.2965313760511,13.2052585151959,7.47330742539389,293.601007506693,940.775269335355,517.355756386315,317.690992316898,1270.25853884712,647.174261828661,"20TJ"
"11",11,12,5,30.8502078522799,13.4889740772749,32.5896777914683,14.8554471705832,15.1985432709649,8.34399220089739,162.948388957341,74.2772358529162,5.23704919340446,14.2677620286173,2018-10-11 21:00:00,2018-10-12 02:00:00,2018-10-12 05:25:35,2018-10-11 17:59:07,25.5803902334048,39.0984259905365,18.8838011747224,195.492129952683,15.7414073081686,10.4310135061165,280.052430721268,1706.7967064857,804.968036838697,838.202899804195,5043.5969878119,2563.53182454614,"20TJ"
