"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","ws_m_support","ws_m_drift","start_flight","end_flight","sunrise","sunset","as_sp","gs_sp","ws_sp","dist_sp","ws_sp_support","ws_sp_drift","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff","gdl_id"
"1",1,2,4.5,45.1268383045275,7.69935739649092,47.5980709956692,8.92498954022436,7.30605397896288,1.87422159437088,214.191319480511,40.1624529310096,2.96780148837355,6.67612006101801,2020-09-10 18:30:00,2020-09-10 23:00:00,2020-09-11 04:35:55,2020-09-10 18:17:04,42.9512297144523,45.1910013538594,6.19817538028318,203.359506092367,2.60932309929304,5.62217137841282,2611.02252007976,4387.71982384305,3423.81207591493,3346.23464307864,3797.24823519244,2255.77448884184,"26IL"
"2",2,3,2,35.1319994711457,16.9446396459636,35.4912498316096,16.7067459425666,4.66164803524974,1.96288176303841,70.9824996632191,33.4134918851333,0.663577507092198,4.61417677344823,2020-09-11 18:00:00,2020-09-11 20:00:00,2020-09-12 04:37:45,2020-09-11 18:19:08,28.0772894916362,27.7823336957256,3.75225357844226,55.5646673914512,-0.0431337540936963,3.75200564980792,2401.30534751696,3460.99591527669,3018.07169351755,3144.44152380011,1593.26688391337,533.576316153644,"26IL"
"3",3,4,6,94.2069090683399,4.9263417335845,99.6858236809158,4.7579997943958,15.7744680934085,1.61325377958337,598.114942085495,28.5479987663748,6.57643946725569,14.3382107518157,2020-09-12 18:00:00,2020-09-13 00:00:00,2020-09-13 04:39:23,2020-09-12 18:16:37,97.0571027503672,103.269580495642,14.8714022015112,619.617482973853,7.09639594668229,13.0690385264955,222.782189845078,3763.23137085875,1941.39088753831,1584.43654483351,5262.03012915996,1413.85447638137,"26IL"
"4",4,5,3.5,85.1833697393702,9.87589839206833,100.532826348001,9.59720437339986,17.6445663051599,1.07024663422167,351.864892218003,33.5902153068995,15.726074399395,8.00133139432912,2020-09-13 19:00:00,2020-09-13 22:30:00,2020-09-14 04:49:28,2020-09-13 18:04:28,81.4606378265073,97.7027266369573,17.9851505675778,341.959543229351,16.5474036878617,7.04620977046426,62.3988587713803,1681.22516978932,1065.90774326116,1066.21952292825,3112.42963696452,2032.02469122505,"26IL"
"5",5,6,12,37.3417445377288,10.7313898296162,65.0157147155328,9.04785422364835,41.1849745834973,2.33530283630644,780.188576586394,108.57425068378,34.828805821094,21.9808192868202,2020-09-25 17:30:00,2020-09-26 05:30:00,2020-09-26 05:05:32,2020-09-25 17:51:06,39.6519912376826,72.2842039269761,41.9084233491845,867.410447123713,37.4151016543135,18.8792509335476,230.539344002079,2421.54644546542,845.729291963784,756.083855299297,7064.00103123151,3210.87623437077,"26IL"
"6",6,7,12,51.2207874881089,19.8931618631901,61.8544523315382,19.7407628355471,13.8669490417418,2.98037192798583,742.253427978458,236.889154026565,11.2740184860359,8.07395707833426,2020-09-26 17:30:00,2020-09-27 05:30:00,2020-09-27 05:13:24,2020-09-26 17:53:23,35.674577019884,46.2097310832515,14.4190711813672,554.516772999017,11.5838524686864,8.58626669263434,311.164170939727,2894.32261958127,1223.6625387351,770.207723973474,6966.60287823326,3581.19641829303,"26IL"
"7",7,8,11.5,53.4241712887858,19.4470174574321,45.3357722329308,18.7077805497911,14.0380867556035,4.13838441963046,521.361380678705,215.139476322598,-6.63650274983518,12.3703157198707,2020-09-27 18:00:00,2020-09-28 05:30:00,2020-09-28 05:13:45,2020-09-27 17:58:56,46.4754536763976,40.9209539201241,14.2215422632545,470.590970081427,-3.46022065982743,13.7941704111134,408.446255510368,4530.10826329603,2311.90550234736,1993.08017820074,10480.8503558839,5217.21225471817,"26IL"
"8",8,9,6,31.8055671203457,15.7777794020072,42.9668176284466,18.7655322103086,21.0138850806185,3.35627717942607,257.800905770679,112.593193261852,14.8502583375634,14.8678577303211,2020-09-28 19:30:00,2020-09-29 01:30:00,2020-09-29 05:20:54,2020-09-28 17:57:58,25.7033550971769,38.4038956403535,17.420912048512,230.423373842121,14.5517127243096,9.57788251082433,403.090123823446,3832.00671890637,1603.13869255899,1420.31530375406,7227.55601159542,3629.46391933639,"26IL"
"9",9,10,4.5,34.156554177682,14.7891108319361,52.3574757014056,18.6748581179296,25.9278443061928,4.67564228696546,235.608640656325,84.0368615306833,21.4571859013077,14.5548027661969,2020-09-29 20:30:00,2020-09-30 01:00:00,2020-09-30 05:29:01,2020-09-29 18:04:10,26.5768728273374,50.5539172699013,27.403024335552,227.492627714556,25.7180280501683,9.46090777598065,295.820280199546,1010.2603928278,776.183843960603,910.892030297065,2454.0951732935,1171.47545852739,"26IL"
"10",10,11,3,31.6236042265937,16.6253511461137,30.0040282937764,17.1677220136582,19.1042290031007,1.91642074002398,90.0120848813293,51.5031660409747,4.41875558808576,18.586182094655,2020-09-30 21:00:00,2020-10-01 00:00:00,2020-10-01 05:29:09,2020-09-30 18:11:24,26.0933236521151,9.22289621620649,21.1096298029494,27.6686886486195,-8.14187055025326,19.476303919391,244.804951011647,2275.37521353621,1263.65653982804,1161.14497381482,4032.58742943051,2002.01716690594,"26IL"
