"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","alt_min","alt_max","alt_mean","alt_med"
"1",1,2,6.5,32.4351287017162,7.68999371334484,39.912346265218,10.0295621496133,9.26917721908857,2.53375931394539,259.430250723917,65.1921539724863,1862.10614482168,4764.15789603648,3891.77980148885,4298.23855673247
"2",2,3,5,39.3338880042822,12.0532099862402,35.8143751206197,12.4185872029934,6.60614188662035,2.56157264275306,179.071875603099,62.0929360149669,144.918433643781,3853.96118133826,1937.27284944598,1687.62634305415
"3",3,4,9.5,59.9957331343302,13.214047557649,83.2621143723149,14.0250100717071,24.7298762000909,1.59093949311662,790.990086536992,133.237595681217,21.7506618489566,4054.84603686143,2435.04929373048,3040.36768652522
"4",4,5,4.5,37.6006799680139,17.1736918896343,41.3770437293674,19.7511820095473,9.78352297238748,5.61774379682358,186.196696782153,88.8803190429628,150.674436946543,798.136832417868,462.385148224639,455.542434780484
"5",5,6,10.5,42.9023949361128,10.3063873930672,43.0058044458861,10.8005637924048,13.5914533423653,2.88757022357444,451.560946681804,113.405919820251,171.348825606855,2520.27743401347,1439.12847185431,1405.25118480708
"6",6,7,11.5,49.866740753277,15.2244062543224,63.2137777467963,13.9502026526995,14.0372866061817,2.29882963471936,726.958444088157,160.427330506045,120.443125454643,2839.84664617212,2067.87883789259,2237.94344331557
"7",7,8,11,33.9627276012349,14.4203412944359,47.585978735648,13.8844272273924,16.9454705697186,3.92452606459352,523.445766092128,152.728699501316,773.413617707415,2897.83226387657,1326.76173324443,1220.69172784496
"8",8,9,11,40.4980761900542,14.6249789239312,50.4305627322867,15.057720460691,15.4906255928722,5.1132437256859,554.736190055154,165.634925067601,461.592567180751,2527.0317765618,1163.47404054842,958.528795324248
"9",9,10,3.5,38.8501194201857,15.4494018676328,45.8114217414295,15.3868766187293,11.119152825184,4.66125603350625,160.339976095003,53.8540681655526,286.715278352433,2068.54258907737,1103.6546636337,1018.36368101768
"10",10,11,1,35.0079464491113,16.1756385746692,36.0453292764964,19.093593720547,14.6499453278995,3.89249971473021,36.0453292764964,19.093593720547,293.601007506693,940.775269335355,517.355756386315,317.690992316898
"11",11,12,5,30.8502078522799,13.4889740772749,32.5896777914683,14.8554471705832,15.1985432709649,8.34399220089739,162.948388957341,74.2772358529162,280.052430721268,1706.7967064857,804.968036838697,838.202899804195
