"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","ws_m_support","ws_m_drift","start_flight","end_flight","sunrise","sunset","as_sp","gs_sp","ws_sp","dist_sp","ws_sp_support","ws_sp_drift","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff","gdl_id"
"1",1,2,9.5,68.5056698851077,11.2112775871826,73.9311319461575,14.0490613586275,18.5099334836438,1.26337648795388,702.345753488496,133.466082906961,7.54352782542294,16.9030419012669,2020-09-12 18:30:00,2020-09-13 04:00:00,2020-09-13 04:39:23,2020-09-12 18:17:54,63.2109252047255,68.4859197740293,17.9486359933865,650.616237853279,7.42381557724275,16.3413737579855,227.201721652787,3866.10261823766,2234.62235382434,2356.26415802031,9114.36077394526,3480.13716406442,"24TJ"
"2",2,3,5,57.6815146677049,19.1489883216741,75.6620029846451,25.3967510249205,25.6668275508415,2.57222419526846,378.310014923225,126.983755124603,20.1975065240652,15.8381427804835,2020-09-13 06:30:00,2020-09-13 11:30:00,2020-09-13 04:50:28,2020-09-12 18:06:06,42.192235891304,68.1662954396001,26.1877395155924,340.831477198001,26.0558149924362,2.62530112872011,228.177472678939,4599.9192721917,2869.32689657504,3322.20989458486,7903.80343515851,4424.71524715006,"24TJ"
"3",3,4,1,33.4041829176379,14.8742285409813,37.0956060144431,19.1403692855249,16.9102998273191,3.65495356817068,37.0956060144431,19.1403692855249,7.36209551639268,15.223593197972,2020-09-13 19:30:00,2020-09-13 20:30:00,2020-09-14 04:52:29,2020-09-13 18:11:26,18.1050870518692,35.6550223681871,18.1081562530919,35.6550223681871,17.8290698106663,3.16695320028234,597.575938065794,2461.15829367051,1445.28557562184,1277.12249512922,3047.618154146,1184.03579854128,"24TJ"
"4",4,5,3,36.8166049890596,15.7011647905392,41.6310507561847,15.9722142909285,9.31022947494731,4.87737302576658,124.893152268554,47.9166428727855,5.57711550135171,7.45494168728101,2020-09-14 00:30:00,2020-09-14 03:30:00,2020-09-14 04:56:12,2020-09-13 18:12:14,34.5851694774006,43.3311882922074,8.79337315803518,129.993564876622,8.75560274753782,0.814144964832262,597.171592348763,2083.31895987149,1026.6796547266,862.499960929178,3261.0332613901,1339.07772099833,"24TJ"
"5",5,6,2,29.1188885680892,14.4145291140758,29.8435970543763,15.693011807107,9.33999315234919,3.98151352330467,59.6871941087525,31.3860236142141,2.17745343418733,9.08263005014932,2020-09-15 02:30:00,2020-09-15 04:30:00,2020-09-15 04:56:18,2020-09-14 18:13:01,29.9512366289357,29.9847115628578,10.0912176774651,59.9694231257156,1.73153284969211,9.94155260532385,463.034760575432,723.682856814864,583.531842973625,605.206484528439,593.243860105732,303.795274730229,"24TJ"
"6",6,7,1,30.4621255416274,15.3649655786693,33.7682224508186,22.4386855654895,22.5676750100886,8.0399128759849,33.7682224508186,22.4386855654895,10.6853671582229,19.877698157859,2020-09-17 00:00:00,2020-09-17 01:00:00,2020-09-17 04:55:47,2020-09-16 18:08:46,29.3004732966392,45.7133412193689,28.1324368180871,45.7133412193689,22.1229271084002,17.3784377168971,486.599100311674,1812.93373765841,1039.01591595923,817.514909907609,2321.75346509753,995.418827750797,"24TJ"
"7",7,8,1,31.3367084329897,15.9887376078109,30.8433822875396,17.4906230396104,7.86223244011224,2.64548209273192,30.8433822875396,17.4906230396104,0.504802524138823,7.84601002764948,2020-09-17 21:30:00,2020-09-17 22:30:00,2020-09-18 04:55:32,2020-09-17 18:05:18,25.493019640229,22.8566883937408,7.10785027510211,22.8566883937408,-1.68319025901275,6.90567926313073,335.41378337107,1097.87585429103,604.580345732373,380.451399535023,1479.88652567596,762.462070919955,"24TJ"
"8",8,9,1,34.3508731469304,14.0582932741272,34.0897583947671,15.474315964955,10.3413215857856,2.90346270835413,34.0897583947671,15.474315964955,1.30643450983504,10.2584677711707,2020-09-18 02:30:00,2020-09-18 03:30:00,2020-09-18 04:54:32,2020-09-17 18:04:18,27.3502887181502,22.8566883937408,4.50739081042036,22.8566883937408,-4.49088496949472,0.385388256993209,672.190373389738,721.251388993643,697.767704754364,699.861351879711,76.7319940938775,27.6709784899728,"24TJ"
"9",9,10,1,33.8362757524112,16.5248772631947,34.423403989993,17.6996224956014,11.6837182687522,3.72577584225191,34.423403989993,17.6996224956014,2.56491859578964,11.3987045395758,2020-09-20 04:30:00,2020-09-20 05:30:00,2020-09-20 04:57:01,2020-09-19 18:00:24,22.9554975378493,22.8566883937408,6.80887785556665,22.8566883937408,0.915140331130411,6.74709832641888,837.472541933437,1251.94221883281,985.678414178607,867.62048176958,798.791413962594,414.469676899368,"24TJ"
"10",10,11,1,30.6268611049693,14.6883378917823,30.9492014011763,16.4446042653822,7.33541673065557,1.99994003869012,30.9492014011763,16.4446042653822,1.18996260816401,7.23825445833131,2020-09-20 23:30:00,2020-09-21 00:30:00,2020-09-21 04:59:46,2020-09-20 17:59:57,34.1436984938841,45.7133412193689,12.1946800777524,45.7133412193689,11.7321072162348,3.32684271727748,460.924093464838,699.393405299465,570.795818495573,552.069956722417,238.469311834627,0,"24TJ"
