"","sta_id_s","sta_id_t","flight_duration","as_m","as_s","gs_m","gs_s","ws_m","ws_s","dist_m","dist_s","ws_m_support","ws_m_drift","start_flight","end_flight","sunrise","sunset","as_sp","gs_sp","ws_sp","dist_sp","ws_sp_support","ws_sp_drift","alt_min","alt_max","alt_mean","alt_med","alt_sumdabsdiff","alt_sumposdiff","gdl_id"
"1",1,2,5,30.6845339559575,13.0579346458253,34.2739539892343,16.489093121218,9.77364935449259,3.96848466217275,171.369769946172,82.4454656060898,4.79500438977153,8.51658115716895,2020-09-16 18:00:00,2020-09-16 23:00:00,2020-09-17 04:43:48,2020-09-16 18:04:51,40.4758591187837,50.2352484699679,9.77592443155234,251.176242349839,9.76260440429187,0.510150700012216,2145.36853168353,3675.87706929553,2878.54421185809,2930.54099371788,3490.70038138272,2186.46459033545,"26HS"
"2",2,3,9.5,50.9323536426541,14.6972381025815,45.9472664679759,13.7164500777202,21.2913602768301,3.27808026412542,436.499031445771,130.306275738341,-0.322449315717928,21.2889184524854,2020-09-23 18:00:00,2020-09-24 03:30:00,2020-09-24 04:47:23,2020-09-23 17:55:34,37.6551740746995,31.9129971992383,24.0638840069838,303.173473392764,2.81386558622151,23.8988006804578,182.420522552432,4156.93580809466,2158.00487442696,1979.0038231915,10619.4704270947,4018.2393335468,"26HS"
"3",3,4,0.5,33.4779504579996,17.7533962416004,26.8843643988204,24.5569529916488,17.0364183385449,8.94092707263103,13.4421821994102,12.2784764958244,-2.00422383685842,16.918115634363,2020-09-24 18:30:00,2020-09-24 19:00:00,2020-09-25 04:48:28,2020-09-24 17:46:36,30.557938142114,0,30.557938142114,0,NA,NA,161.535028409633,701.188641333235,431.361834871434,431.361834871434,539.653612923602,0,"26HS"
"4",4,5,2.5,37.6104416249205,11.9828040633703,31.0880425205855,27.2550769276196,40.1046941952043,9.53191558407012,77.7201063014639,68.1376923190491,18.6616375775785,35.4983067119259,2020-09-26 18:00:00,2020-09-26 20:30:00,2020-09-27 04:48:45,2020-09-26 17:43:05,28.361540399544,27.7327795673499,46.8426302295031,69.3319489183747,38.9243726953351,26.0600310263169,173.990634911187,1655.75126282723,856.701827683927,828.148541498192,2938.99780170682,1481.76062791604,"26HS"
"5",5,6,3.5,37.3222289721246,12.0800941777625,32.748637845132,16.944840878537,25.6572945710208,6.27795273328873,114.620232457962,59.3069430748794,5.15779116624025,25.1335225344476,2020-09-27 18:00:00,2020-09-27 21:30:00,2020-09-28 04:50:00,2020-09-27 17:39:13,36.3067938176682,31.7303796825979,31.2195964794444,111.056328889093,10.4520798121156,29.4179746403538,52.0601328683229,883.706253964748,432.918475875947,357.465413102731,2473.09579112651,1330.5225643978,"26HS"
"6",6,7,2,32.7993604081233,15.873912266853,29.617779018283,17.6509076279829,27.3981144902239,7.20928168080344,59.235558036566,35.3018152559659,9.31993361272138,25.7642293708522,2020-09-28 19:30:00,2020-09-28 21:30:00,2020-09-29 04:50:05,2020-09-28 17:37:18,26.7233649702892,29.7209040266051,18.0493556971461,59.4418080532101,8.32702029289564,16.0137432889317,248.621506797724,657.924854227661,477.861020191431,547.523346463688,861.705029106188,591.49222188292,"26HS"
"7",7,8,3.5,27.7345032450934,15.8206466847235,28.364229229704,15.4248892833942,8.67057072807706,2.78523972522836,99.2748023039639,53.9871124918796,1.94797513090811,8.4489164772739,2020-09-29 18:00:00,2020-09-29 21:30:00,2020-09-30 04:54:09,2020-09-29 17:34:35,28.8740103742243,30.0554429942801,8.07604193024352,105.19405047998,2.24324811609535,7.75824020952472,513.350687673021,1221.34263309854,850.007222212435,767.426332446001,1784.17418190295,816.78713260558,"26HS"
"8",8,9,1,33.1692757960462,13.3352004937791,31.7160290711169,14.6485921633275,6.24243659367678,2.27557732850116,31.7160290711169,14.6485921633275,-0.872214205064983,6.18120190630899,2020-09-30 03:00:00,2020-09-30 04:00:00,2020-09-30 04:54:10,2020-09-29 17:37:29,24.4462786992563,27.7550641126968,3.79982553691166,27.7550641126968,3.37166786949601,1.75229275201782,65.1873347786776,541.289606321247,326.774970688828,373.847970966558,643.543906897258,476.102271542569,"26HS"
"9",9,10,7,58.80838231167,10.4757907267819,56.621670542504,10.6702193160568,21.6741211031817,1.5206606395445,396.351693797528,74.6915352123979,1.91936469218572,21.5889685898557,2020-09-30 19:30:00,2020-10-01 02:30:00,2020-10-01 04:53:12,2020-09-30 17:35:52,42.3672518138378,44.0557330905747,24.2573937293005,308.390131634023,8.33426992259302,22.7807176224909,437.869712374364,2016.49873876623,1270.08549186272,1331.09046709679,5402.50467042401,2970.67347994771,"26HS"
"10",10,11,1.5,34.4375202338576,15.7530382158769,33.2383217281,15.0908903096193,10.6812431925869,2.51982301833518,49.85748259215,22.6363354644289,0.495394861568437,10.6697488288299,2020-10-01 21:30:00,2020-10-01 23:00:00,2020-10-02 04:53:00,2020-10-01 17:32:15,24.8213718368212,23.7995051850688,13.4161764384386,35.6992577776032,2.73765644298862,13.1338885113083,832.828054701194,1545.47553162975,1191.06103521421,1192.97027726295,1397.83366548203,685.18618855347,"26HS"
